Unnamed: 0,Mois,Demande totale de chaleur (MWh),Chauffage des locaux (MWh),Eau chaude sanitaire (MWh),Chaleur (centre énergétique) (MWh),Demande totale de froid (MWh),Refroidissement des locaux (MWh),Refroidissement de procédé (MWh),Refroidissement (centre énergétique) (MWh),Charges électriques (MWh),E-mobilité (MWh),Puissance de fonctionnement (MWh),Travail de pompe (MWh),Température de l'air (°C)
,"Mar, 03.04. 07:00",4690.4,3769.5,920.9,0,0,0,0,0,0,0,1137.4,0,7.199999809265137
,"Mar, 03.04. 08:00",4072.2,3239.1,833.1,0,0,0,0,0,0,0,963,0,8.5
,"Mar, 03.04. 09:00",3601.4,2880.1,721.3,0,0,0,0,0,0,0,812.8,0,9.899999618530273
,"Mar, 03.04. 10:00",2993.3,2374.3,619,0,0,0,0,0,0,0,648.8,0,11.19999980926514
,"Mar, 03.04. 11:00",2522.6,1943.9,578.7,0,0,0,0,0,0,0,525.5,0,12.89999961853027
,"Mar, 03.04. 12:00",2147.6,1624.2,523.4,0,0,0,0,0,0,0,443.9,0,13.39999961853027
,"Mar, 03.04. 13:00",2159.2,1622.6,536.6,0,0,0,0,0,0,0,440.7,0,13.89999961853027
,"Mar, 03.04. 14:00",2143.3,1631.9,511.4,0,0,0,0,0,0,0,437.1,0,13.80000019073486
,"Mar, 03.04. 15:00",2413,1947.6,465.4,0,0,0,0,0,0,0,502.5,0,12.10000038146973
,"Mar, 03.04. 16:00",2631.8,2157.9,473.9,0,0,0,0,0,0,0,566.1,0,10.89999961853027
,"Mar, 03.04. 17:00",3429.4,2715.2,714.2,0,0,0,0,0,0,0,752.6,0,10.69999980926514
,"Mar, 03.04. 18:00",3422.8,2688.4,734.4,0,0,0,0,0,0,0,759.3,0,10.39999961853027
,"Mar, 03.04. 19:00",3932,2990,942,0,0,0,0,0,0,0,902.7,0,9.699999809265137
,"Mar, 03.04. 20:00",3904.1,2959.5,944.6,0,0,0,0,0,0,0,901.8,0,9.399999618530273
,"Mar, 03.04. 21:00",4119.8,3156,963.8,0,0,0,0,0,0,0,960.2,0,8.800000190734863
,"Mar, 03.04. 22:00",2649.7,2117.6,532.1,0,0,0,0,0,0,0,631.1,0,7.800000190734863
,"Mar, 03.04. 23:00",2326.6,2007,319.6,0,0,0,0,0,0,0,543.7,0,7.400000095367432
,"Mer, 04.04. 00:00",1961.4,1753,208.4,0,0,0,0,0,0,0,438.5,0,8.300000190734863
,"Mer, 04.04. 01:00",1946,1832.6,113.4,0,0,0,0,0,0,0,424.6,0,8.199999809265137
,"Mer, 04.04. 02:00",2155,2123.3,31.7,0,0,0,0,0,0,0,489.4,0,6.099999904632568
,"Mer, 04.04. 03:00",2478,2444,34,0,0,0,0,0,0,0,570.1,0,5.599999904632568
,"Mer, 04.04. 04:00",2826.7,2715.5,111.2,0,0,0,0,0,0,0,664.5,0,5.400000095367432
,"Mer, 04.04. 05:00",4122.7,3795.7,327,0,0,0,0,0,0,0,982.6,0,5.300000190734863
,"Mer, 04.04. 06:00",5513.7,4653.1,860.6,0,0,0,0,0,0,0,1369.8,0,5.199999809265137
,"Mer, 04.04. 07:00",5419.3,4509.8,909.5,0,0,0,0,0,0,0,1347,0,5.800000190734863
,"Mer, 04.04. 08:00",4651.8,3860.6,791.2,0,0,0,0,0,0,0,1138.2,0,6.699999809265137
,"Mer, 04.04. 09:00",3627.6,3054.7,572.9,0,0,0,0,0,0,0,859.7,0,7.5
,"Mer, 04.04. 10:00",3925.1,3319.2,605.9,0,0,0,0,0,0,0,905.1,0,8.300000190734863
,"Mer, 04.04. 11:00",3572.2,3000,572.2,0,0,0,0,0,0,0,793.2,0,9.600000381469727
,"Mer, 04.04. 12:00",3057.8,2529.8,528,0,0,0,0,0,0,0,663,0,10.60000038146973
,"Mer, 04.04. 13:00",3080.8,2524.3,556.5,0,0,0,0,0,0,0,646.6,0,11.69999980926514
,"Mer, 04.04. 14:00",2648,2176.1,471.9,0,0,0,0,0,0,0,550.4,0,12
,"Mer, 04.04. 15:00",2813.1,2343.7,469.4,0,0,0,0,0,0,0,582.7,0,11.80000019073486
,"Mer, 04.04. 16:00",3114.6,2636.6,478,0,0,0,0,0,0,0,674.4,0,10.19999980926514
,"Mer, 04.04. 17:00",4094.1,3426.4,667.7,0,0,0,0,0,0,0,941.1,0,8.399999618530273
,"Mer, 04.04. 18:00",4083.7,3386.8,696.9,0,0,0,0,0,0,0,946.9,0,8.199999809265137
,"Mer, 04.04. 19:00",4703.9,3772.7,931.2,0,0,0,0,0,0,0,1112.8,0,7.900000095367432
,"Mer, 04.04. 20:00",5200.9,4170.7,1030.2,0,0,0,0,0,0,0,1248.6,0,7.300000190734863
,"Mer, 04.04. 21:00",4821.9,3850.4,971.5,0,0,0,0,0,0,0,1138.9,0,7.699999809265137
,"Mer, 04.04. 22:00",3181,2644.9,536.1,0,0,0,0,0,0,0,782.4,0,6.099999904632568
,"Mer, 04.04. 23:00",2796,2492.4,303.6,0,0,0,0,0,0,0,690.8,0,5
,"Jeu, 05.04. 00:00",2442.6,2249.3,193.3,0,0,0,0,0,0,0,591.6,0,5.199999809265137
,"Jeu, 05.04. 01:00",2690.5,2572.9,117.6,0,0,0,0,0,0,0,637.2,0,5.300000190734863
