P_pcc,Q_pcc
8.933199822158002,3.7608096700401155
8.933199822158182,3.7608096700401066
8.933199822158091,3.7608096700404707
8.933199822159436,3.760809670040174
8.933199822158448,3.760809670040537
8.933199822158262,3.7608096700401665
8.93319982215863,3.7608096700398987
8.933199822158192,3.760809670040126
8.933199822157833,3.7608096700399365
8.933199822158368,3.760809670040217
8.933199822139592,3.760809670040084
8.933199822158253,3.7608096700399787
8.933199822158153,3.7608096700403597
8.933199822158818,3.7608096700403584
8.933199822158361,3.7608096700405427
8.933199822158281,3.7608096700398894
8.933199822158256,3.7608096700401306
8.933199822133577,3.760809670060098
8.933199822158153,3.7608096700399987
8.933199824752128,3.760809671254458
8.933199822158018,3.760809670039887
8.933199822157976,3.760809670039856
8.933199822157897,3.760809670040285
8.933199820836089,3.760809670428038
8.933199822158223,3.76080967004002
8.933199831647531,3.7608096719736004
8.933199822159171,3.760809670039485
8.933199822158212,3.760809670040258
8.933199811183352,3.7608096662497803
8.933199822158178,3.760809670040006
8.933199822158105,3.760809670040039
8.933199822158409,3.7608096700403073
8.933199822431872,3.760809670019601
8.933199822158313,3.760809670040081
8.933199822157887,3.760809670040253
8.933199822158413,3.760809670040361
8.933199822158548,3.7608096700404308
8.93319982215814,3.7608096700402593
8.933199822158262,3.760809670040148
8.93319982215934,3.760809670040032
8.933199822157558,3.76080967004013
8.93319982215838,3.7608096700403233
8.933199822158166,3.76080967004054
8.933199822158729,3.7608096700402824
8.933199822158201,3.760809670040044
8.933199822158258,3.760809670040061
8.933199822158342,3.7608096700401927
8.933199822158496,3.7608096700401514
8.9331998882762,3.760809754070531
8.933199822158057,3.7608096700401457
8.933199822158448,3.7608096700402656
8.933199822157865,3.7608096700402456
8.933199822157682,3.760809670040035
8.933199822157784,3.7608096700404645
8.933199822158167,3.760809670039983
8.933199822158839,3.760809670040155
8.933199822158057,3.7608096700401696
8.933199820887992,3.760809670358499
8.933199822157617,3.760809670040207
8.933199822158693,3.7608096700399885
8.933199822158636,3.76080967003995
8.933199822157667,3.7608096700398725
8.933199822038848,3.7608096697404054
8.933199822157915,3.7608096700400186
8.933199822158302,3.7608096700402767
8.933199822158281,3.7608096700400644
8.933199822157462,3.7608096700400635
8.933199822157809,3.7608096700400395
8.93319982211029,3.760809670031275
8.933199822158002,3.7608096700401155
