P_pcc,Q_pcc
8.224308087631218,3.7586162161475825
8.224308134319944,3.5261457885357026
8.22430806706939,3.5261399905208672
8.22430805810596,3.526139894174153
8.224307821485187,3.5261399914397455
8.224308120588773,3.526139966618307
8.224308118330994,3.5261400323169334
8.224308574392355,3.5261397789770665
8.22430827712217,3.5261405329237134
8.224308166537584,3.5261400566562147
8.224308389994723,3.526140234230451
8.224308368578832,3.526140105038366
8.224308264027362,3.5261399005488943
8.224308089023848,3.5261398965917246
8.22430849653056,3.5261399649668492
8.224308533340997,3.5261399200949857
8.224308152250101,3.5261398883235713
8.224308503464629,3.5261399030309843
8.23408233056328,3.5261399070530506
8.93319970058443,3.5273897416010564
8.933199196077036,3.5273897683349915
8.933199919522298,3.527389706054685
8.933199709557423,3.5273897501778713
8.933199791166544,3.5273897507799785
8.933199752579062,3.5273898324089243
8.933199601154893,3.5273896991566946
8.933199747594362,3.527389910405273
8.933199890173467,3.5273897038675135
8.93319967246496,3.5273896778680913
8.933199863659159,3.527389772579463
8.933199771083139,3.5273901740682834
8.933199918075033,3.527389819637843
8.933199903132063,3.527389811382691
8.9331997630413,3.527391080475942
8.933199821140102,3.5273897838898836
8.933199818698323,3.5273910376588824
8.933199789141915,3.79036388490182
8.933199727274136,3.994229578017538
8.93319986426797,3.9942295485129584
8.93319965048876,3.9942295272198987
8.933199822143862,3.994229585136218
8.93319984361698,3.99422960202355
8.933199848089227,3.994229497720094
8.93319972244481,3.9942296169770986
8.933199723680914,3.994229262442772
8.933199804976606,3.994229593830072
8.933199737925824,3.9942295277592237
8.933199557702043,3.994229481001917
8.933199466680207,3.994229379699046
8.933199686359858,3.9942295356889828
8.933199482295306,3.9942296652972558
8.933199948478931,3.9942295484189523
8.933199788658372,3.994229585005892
8.93319551174342,3.994229554603609
8.924980850303918,3.994229547928095
8.22430794660042,3.9929798304654534
8.224308821913088,3.9929797278917887
8.224308427482514,3.99297972403507
8.224308301947893,3.9929796965317177
8.224308171450613,3.9929797289117124
8.224308126598565,3.992979741803233
8.22430804069056,3.9929797109658125
8.224308000181907,3.9929795611131556
8.224308077992502,3.9929797244260175
8.224308066585262,3.9929796795113672
8.224308148992355,3.9929796916739146
8.22430811689812,3.992979307971563
8.224308200547084,3.9929797709534993
8.224308148042521,3.992979444400743
8.224308046343685,3.992979442934377
8.22430807376329,3.9929766820656414
8.224308273553515,3.9929797306671775
8.224308087631218,3.7586162161475825
