scenario,saison,heure,bord,P_ac,Q_ac,Ppv,Ppv_max,Php,Php_min,Qpv,P_lin,Q_lin,pv0,pvmax,hp0,hpmin_n,invmax,invactive,vmin_lin,vmax_lin,line_idx,lineutil,vmin_ac,vmax_ac,line_ac,BP,BQ,BPmax,Butil
sans,Été,7,depart,8.538564636684896,3.7447152419717895,0.7088917483274629,0.7088917483274629,-0.33321567277945574,-0.33321567277945574,0.0,,,,,,,,,,,,,,,,,,,
sans,Été,7,gauche,8.199920772138285,3.57497611522831,0.7088917467521129,0.7088917483274629,-1.9660067265960894e-09,-0.33321567277945574,0.1634781832084714,8.210308802725525,3.585184585789211,0.0,41.0,41.0,0.0,0.3503507603134938,0.0,1.0,1.0271593917169526,22.0,0.3861969296728155,0.9831475292550462,1.0,38.631098031783054,,,,
sans,Été,7,bas,8.217825725721923,2.8618836718796956,0.6954768913275154,0.7088917483274629,-0.007600482760190523,-0.33321567277945574,0.8726948523629989,8.231324152835803,2.8748071406940605,0.0,38.0,35.0,0.0,0.4044355140525173,0.0,1.0,1.0485524985012122,22.0,0.3751893683600637,0.9842395497864194,1.0,37.50813338811447,,,,
sans,Été,7,droite,9.259274696050852,4.064495496498239,6.338351808049042e-09,0.7088917483274629,-0.3332156640453513,-0.33321567277945574,-0.30635322761304634,9.25241599646101,4.0578918094974785,41.0,0.0,0.0,41.0,0.2729672601110847,0.0,0.9774903119201273,1.0,24.0,0.43616519024336325,0.9805856550003412,1.0,43.73008598814446,,,,
sans,Été,7,haut,9.241715831896727,4.634804575185626,0.013819508178867913,0.7088917483274629,-0.326230084967056,-0.33321567277945574,-0.8726948511826297,9.231611062092606,4.625146409141469,35.0,0.0,0.0,27.0,0.3301081459269438,0.0,0.9614460175251092,1.0,24.0,0.4461842236197619,0.979762104143401,1.0,44.75261230224461,,,,
sans,Été,12,depart,7.738983448471117,3.7338160903318567,1.4615164191566261,1.4615164191566261,-0.29590225050797514,-0.29590225050797514,0.0,,,,,,,,,,,,,,,,,,,
sans,Été,12,gauche,7.438383790489752,3.575052472971038,1.4615164089331247,1.4615164191566261,-9.819657735587315e-09,-0.29590225050797514,0.15313770836942786,7.457684202902226,3.5941214527577765,0.0,41.0,41.0,0.0,0.6042306076761554,0.0,1.0,1.0489932426060296,24.0,0.3568159874738253,0.9842741991536234,1.0,35.63898698071408,,,,
sans,Été,12,bas,7.452895631791762,2.851913654820237,1.4504124770185671,1.4615164191566261,-0.00640472441418218,-0.29590225050797514,0.8726948527910732,7.475192801684581,2.8734829949036125,0.0,39.0,37.0,0.0,0.6133833752295399,0.0,1.0,1.068345400380831,22.0,0.34463940960212575,0.9852607993947653,1.0,34.403754631964915,,,,
sans,Été,12,droite,9.220735642753425,3.9481713128034244,4.1128536017872327e-10,1.4615164191566261,-0.29590224969807527,-0.29590225050797514,-0.19131660091478303,9.215102786418273,3.9426234705610392,41.0,0.0,0.0,41.0,0.28860902378016634,0.0,0.9812868224750103,1.0,21.0,0.4326085904239101,0.9807810664794465,1.0,43.36674738633478,,,,
sans,Été,12,haut,9.190603877417743,4.634223119942362,0.027751526510240324,1.4615164191566261,-0.28956931538338543,-0.29590225050797514,-0.8726948491259117,9.181018410419316,4.6250810425648226,40.0,0.0,0.0,34.0,0.3792609835451892,0.0,0.9624226235454308,1.0000093889763364,24.0,0.4447443636324859,0.9798129213852913,1.0,44.605527422745055,,,,
sans,Été,18,depart,9.208567457309982,3.754663392887778,0.03231683360565877,0.03231683360565877,-0.3178025871917065,-0.3178025871917065,0.0,,,,,,,,,,,,,,,,,,,
sans,Été,18,gauche,8.885753087808553,3.6593512909230412,0.032316833483777854,0.03231683360565877,-5.7215571495074595e-11,-0.3178025871917065,0.08974784672936913,8.886883714204645,3.660309938230789,0.0,41.0,41.0,0.0,0.30378059884473324,0.0,1.0,1.003900251851327,22.0,0.41441066460464504,0.9819445466189886,1.0,41.505798150142205,,,,
sans,Été,18,bas,8.890446403525857,2.8716723769648524,0.03129469820587981,0.03231683360565877,-0.007357951657763693,-0.3178025871917065,0.8726948498255942,8.895263623812376,2.8760006161466305,0.0,8.0,38.0,0.0,0.31246486767475223,0.0,1.0,1.0306769077735765,22.0,0.40288726679586123,0.9833147464545821,1.0,40.325885726248195,,,,
sans,Été,18,droite,9.242223687084334,3.7338697729137493,1.6492677562624956e-08,0.03231683360565877,-0.31780257491647435,-0.3178025871917065,0.02296376791424723,9.237002976434717,3.728274455504697,41.0,0.0,0.0,41.0,0.28965434011254104,0.0,0.9796606505505185,1.0,21.0,0.42974830339882214,0.9806968592354948,1.0,43.076837400314616,,,,
sans,Été,18,haut,9.240488929561252,4.634564417951879,0.0007248945793426392,0.03231683360565877,-0.3121223045779377,-0.3178025871917065,-0.8726948525320494,9.23059792581217,4.625119420286528,35.0,0.0,0.0,38.0,0.3122960636209467,0.0,0.9618494181613195,1.0,24.0,0.445589389484468,0.979783095785465,1.0,44.69184811539199,,,,
sans,Été,0,depart,9.049792389294453,3.7522583506415685,0.0,0.0,-0.12885553478643566,-0.12885553478643566,0.0,,,,,,,,,,,,,,,,,,,
sans,Été,0,gauche,8.918302306261467,3.5830654668916395,0.0,0.0,-2.2256953834773667e-10,-0.12885553478643566,0.1661109890345938,8.919200535561707,3.583896809091571,0.0,0.0,41.0,0.0,0.29701134717851047,0.0,0.9999996259639812,1.006061470025576,22.0,0.4144354426382993,0.9820558746566932,1.0,41.50868477933215,,,,
sans,Été,0,bas,8.918937889637164,2.872159471499799,0.0,0.0,-0.004120997031329789,-0.12885553478643566,0.8726948437265607,8.92332143245782,2.8760577569735943,0.0,0.0,15.0,0.0,0.3122498980398991,0.0,1.0,1.029826351804195,22.0,0.40424591127146736,0.9832706891124269,1.0,40.464126634774765,,,,
sans,Été,0,droite,9.050679352094448,3.81653116034704,0.0,0.0,-0.12885553333823382,-0.12885553478643566,-0.06336728740403418,9.048056118408223,3.814102495568227,0.0,0.0,0.0,41.0,0.28510832552087423,0.0,0.9916200681917987,1.0,21.0,0.42351730237389673,0.9813137838010311,1.0,42.4388703311124,,,,
sans,Été,0,haut,9.052528172054735,4.631646580400229,0.0,0.0,-0.12603870070966444,-0.12885553478643566,-0.8726948467954463,9.04523915141122,4.62478767801725,0.0,0.0,0.0,5.0,0.31224989862185615,0.0,0.9667982894279463,1.0,24.0,0.438298590078011,0.9800405192107521,1.0,43.94718790478181,,,,
sans,Hiver,7,depart,12.964227246891824,3.822733204924589,0.06347520573811719,0.06347520573811719,-4.04318086149333,-4.04318086149333,0.0,,,,,,,,,,,,,,,,,,,
sans,Hiver,7,gauche,8.854627934506425,3.719164347912738,0.06347520253833872,0.06347520573811719,-7.211223666994805e-10,-4.04318086149333,0.030100098862487962,8.8557253352743,3.7201245480336578,0.0,41.0,41.0,0.0,0.2865975100710673,0.0,0.9999372109240771,1.0022116845072153,22.0,0.41417074559239087,0.9817442651539785,1.0,41.48258677098931,,,,
sans,Hiver,7,bas,8.851883895418723,2.870901062718076,0.06237472192817055,0.06347520573811719,-0.0004733652946270093,-4.04318086149333,0.8726948511474891,8.857299193755852,2.8759207646351586,0.0,40.0,40.0,0.0,0.32362711033614266,0.0,1.0,1.0322763580605894,22.0,0.40156101121791593,0.9833978289682509,1.0,40.189807351521814,,,,
sans,Hiver,7,droite,13.028252728745429,3.7151334708050854,4.281139025788712e-07,0.06347520573811719,-4.043180612265412,-4.04318086149333,0.10783932437870392,12.962373746922102,3.6491555229277255,41.0,0.0,0.0,41.0,0.29852830298059985,0.0,0.9037154148247766,1.0,21.0,0.5809862913844364,0.9767042421844776,1.0,58.5272471469312,,,,
sans,Hiver,7,haut,12.499934305142233,4.681895811849245,0.020416766724042884,0.06347520573811719,-3.54525864413744,-4.04318086149333,-0.8726948461583992,12.444042414822025,4.63008326346734,12.0,1.0,3.0,35.0,0.3236080125333606,0.0,0.9000000009341026,1.0,21.0,0.5726591457568766,0.976557970611268,1.0,57.65293993060937,,,,
sans,Hiver,12,depart,10.270509723253781,3.7707045874276446,1.4623979643326783,1.4623979643326783,-2.7953488659344856,-2.7953488659344856,0.0,,,,,,,,,,,,,,,,,,,
sans,Hiver,12,gauche,7.438269597976614,3.700773880721499,1.4623979636527582,1.4623979643326783,-1.3908944249270482e-07,-2.7953488659344856,0.02890109177555028,7.456803059340064,3.7188349719925133,0.0,41.0,41.0,0.0,0.6237483383716529,0.0,1.0,1.0363689949702288,24.0,0.35943181074593367,0.9836304811586781,1.0,35.90533262756367,,,,
sans,Hiver,12,bas,7.483652716917277,2.851211794494702,1.4380636691838782,1.4623979643326783,-0.025367480378559574,-2.7953488659344856,0.8726948503256176,7.506504360746048,2.8734045605380367,0.0,40.0,40.0,0.0,0.6502205145629448,0.0,1.0,1.0702354146163917,22.0,0.3447724852675874,0.9853588297938751,1.0,34.41369530082104,,,,
sans,Hiver,12,droite,11.758703416347998,3.8573227748020145,1.5088642144503397e-09,1.4623979643326783,-2.795348864461118,-2.7953488659344856,-0.05764851863407526,11.714549338546824,3.813082590776913,41.0,0.0,0.0,41.0,0.25252707760841064,0.0,0.9214517586629724,1.0,21.0,0.531541820558791,0.9776523565830912,1.0,53.47059763649544,,,,
sans,Hiver,12,haut,11.723050562508433,4.676604118373689,0.005049883980528032,1.4623979643326783,-2.760981189290487,-2.7953488659344856,-0.8726948386355988,11.67513183988636,4.629344371275957,24.0,0.0,0.0,23.0,0.3166006704705355,0.0,0.9000016026693547,1.0,21.0,0.5417623545030459,0.9765511170952212,1.0,54.52679659710745,,,,
sans,Hiver,18,depart,12.32258486635692,3.809890778773479,0.0,0.0,-3.3498304576502247,-3.3498304576502247,0.0,,,,,,,,,,,,,,,,,,,
sans,Hiver,18,gauche,8.91894825351119,3.682878601176526,0.0,0.0,-3.610741835310028e-10,-3.3498304576502247,0.06710738303999328,8.919200539863423,3.6831142483124015,0.0,0.0,41.0,0.0,0.2676301280068386,0.0,0.9999996353746783,1.0023466011704059,22.0,0.41612433117894987,0.9818656625533364,1.0,41.682194419212905,,,,
sans,Hiver,18,bas,8.916952970350394,2.8721543569081405,0.0,0.0,-0.002141322042618505,-3.3498304576502247,0.8726948514891876,8.921341832553109,2.8760570198274555,0.0,0.0,39.0,0.0,0.3122498995114148,0.0,1.0,1.029831978340774,22.0,0.40420583198275,0.9832709768553086,1.0,40.46009264298789,,,,
sans,Hiver,18,droite,12.322009126935882,3.821086348550125,0.0,0.0,-3.3498304566699324,-3.3498304576502247,-0.012349351210705031,12.269030894488154,3.768247674245076,0.0,0.0,0.0,41.0,0.23934409980834304,0.0,0.9207414439756357,1.0,21.0,0.5536647359154206,0.977601022451685,1.0,55.72862737692331,,,,
sans,Hiver,18,haut,12.085372136269143,4.679119192373037,0.0,0.0,-3.114610371116923,-3.3498304576502247,-0.8726948528870134,12.033810885799447,4.6296942034401205,0.0,0.0,2.0,37.0,0.3122498997766025,0.0,0.900000000124755,1.0,21.0,0.5557660626100004,0.9765539605079682,1.0,55.943965524696125,,,,
sans,Hiver,0,depart,10.753609387538745,3.780149315057315,0.0,0.0,-1.8076909394116425,-1.8076909394116425,0.0,,,,,,,,,,,,,,,,,,,
sans,Hiver,0,gauche,8.918963113985228,3.6662244003737214,0.0,0.0,-7.1571396518409135e-09,-1.8076909394116425,0.0840620004845573,8.91920055939265,3.6662327973600632,0.0,0.0,41.0,0.0,0.2831608666000758,0.0,0.9987065118665456,1.0015892724511972,22.0,0.41583491865775835,0.9817065030204835,1.0,41.65355502520248,,,,
sans,Hiver,0,bas,8.959618191875052,2.872156795576302,0.0,0.0,-0.04480254671527758,-1.8076909394116425,0.8726947771314333,8.96400297186896,2.8760575857621227,0.0,0.0,12.0,0.0,0.31224988542122023,0.0,0.9999638645661927,1.0298298748842742,22.0,0.4042171597672807,0.9832708689496186,1.0,40.46123527198852,,,,
sans,Hiver,0,droite,10.75259978694885,3.5655732816576347,0.0,0.0,-1.80769093832565,-1.8076909394116425,0.21351371480137585,10.726891466596406,3.5396766688248635,0.0,0.0,0.0,41.0,0.2689785501201759,0.0,0.9566858980470434,1.0,21.0,0.48709331455955496,0.9794874768839359,1.0,48.920948903356695,,,,
sans,Hiver,0,haut,10.727094207923074,4.659621537787643,0.0,0.0,-1.7755519287230703,-1.8076909394116425,-0.8726948526672645,10.69475247677333,4.627732611191452,0.0,0.0,0.0,40.0,0.3122498997347753,0.0,0.9228487346334125,1.0,21.0,0.5039335975294028,0.9777480394240108,1.0,50.65766369944197,,,,
avec,Été,7,depart,6.3327888775056635,3.710733686405547,2.899407837511562,2.899407837511562,-0.33321567277945574,-0.33321567277945574,0.0,,,,,,,,,,,,,,,,2.190516089184099,0.0,2.190516089184099,
avec,Été,7,gauche,6.019502960076352,4.861894809699152,2.899407818417484,2.899407837511562,-1.934281213631011e-08,-0.33321567277945574,-1.124647642193227,6.001062926326041,4.8431024856584175,0.0,42.0,41.0,0.0,0.3958514228878584,0.0,0.9513379688948904,1.0101794038369027,75.0,0.3460127381996592,0.9836880824557674,1.0,35.0434227822318,2.190516088927328,-1.2499967332735928,2.190516089184099,0.2957986933630887
avec,Été,7,bas,9.236342405634787,1.1955699581494628,0.01760288994138105,2.899407837511562,-0.32558899471520636,-0.33321567277945574,2.5539545765027922,9.208456150784814,1.1609847216949718,41.0,0.0,0.0,40.0,0.34081216967002215,0.0,0.9990227968390635,1.0999999999972492,21.0,0.4010727096538511,0.9903728777512849,1.0,40.2867003827178,2.0589597876491066e-11,1.8318821283257027,2.190516089184099,0.21485037307523672
avec,Été,7,droite,9.254387932087411,3.2229757605828127,4.101034609587557e-11,2.899407837511562,-0.3332156727376362,-0.33321567277945574,0.5238463249709413,9.23368582385813,3.1966150225165593,42.0,0.0,0.0,41.0,0.27781370509120407,0.0,0.9048538343157307,1.0,24.0,0.4211407453097998,0.9846839838733902,1.0,42.295470638956665,1.9722954687508563e-12,0.7476520407851881,2.190516089184099,0.08768758503036156
avec,Été,7,haut,6.060673155981931,6.0254513928503,2.881064291480271,2.899407837511562,-0.00831131756176028,-0.33321567277945574,-2.270272396804199,6.027717101873354,5.99115758822078,0.0,41.0,40.0,0.0,0.4044357922785542,0.0,0.9000000000049301,1.000860847293631,24.0,0.36487786127119115,0.9811087051268897,1.0,36.759011209907534,2.1905160891464264,-1.3975775453585713,2.190516089184099,0.304748386878898
