P_pcc_MW,Q_pcc_MVAr,P_flex_MW,Q_flex_MVAr
9.191239904157555,2.876299707500948,-0.8854877740232041,0.8653213095894898
9.201199809805985,4.633863998274137,-0.8954476796716335,-0.8922429811836992
9.201199809627724,4.633864012426784,-0.8954476794933726,-0.8922429953363462
9.201199809267564,4.633864012608683,-0.8954476791332127,-0.8922429955182452
9.201199807965168,4.63386401264961,-0.8954476778308162,-0.8922429955591724
9.181003574827628,4.633863600308359,-0.8752514446932764,-0.8922425832179215
8.035199621877837,4.617199832379811,0.27055250825651456,-0.8755788152893729
8.035199568850658,4.617199831186554,0.27055256128369365,-0.8755788140961158
8.035199568494136,4.617199831096514,0.27055256164021557,-0.8755788140060758
8.028209783369675,3.4664892718337796,0.27754234676467604,0.2751317452566582
8.025322981175123,2.8597326685521693,0.28042914895922877,0.8818883485382685
8.025323018937343,2.8597326164726837,0.28042911119700875,0.8818884006177541
8.05278007553352,2.8597347043150876,0.25297205460083205,0.8818863127753502
9.191239904157555,2.876299707500948,-0.8854877740232041,0.8653213095894898
