scenario,scenario_key,alpha,area_MW_MVAr,P_min_MW,P_max_MW,Q_min_MVAr,Q_max_MVAr,P_span_MW,Q_span_MVAr,n_valid,n_rejected
Without BelalpSolar,without_belalp,0.0,3.827480679774453e-05,8.919200534339325,14.563841044757282,3.7503094885951214,3.831907343401326,5.644640510417958,0.08159785480620485,36,0
Without BelalpSolar,without_belalp,0.1,3.413463619837671,8.774615972091851,14.727222851794068,3.4553173445128778,4.117619418958384,5.952606879702216,0.6623020744455062,36,0
Without BelalpSolar,without_belalp,0.2,7.08664589603768,8.630195288133109,14.88763747944904,3.1604993493656366,4.403543023117891,6.257442191315931,1.243043673752254,36,0
Without BelalpSolar,without_belalp,0.30000000000000004,11.016715547242256,8.485938019653986,15.047449711379159,2.8658549587589732,4.689782685778482,6.561511691725173,1.823927727019509,36,0
Without BelalpSolar,without_belalp,0.4,15.202757428325071,8.341843697740842,15.20672691913569,2.571383629961929,4.976398760268239,6.864883221394848,2.4050151303063103,36,0
Without BelalpSolar,without_belalp,0.5,19.641384582868113,8.19791186296061,15.359191238512722,2.2770848238706094,5.263397799790255,7.1612793755521125,2.9863129759196454,36,0
Without BelalpSolar,without_belalp,0.6000000000000001,24.31795080238578,8.054142031371157,15.502957669854368,1.9829580039222492,5.550694275394562,7.448815638483211,3.567736271472313,36,0
Without BelalpSolar,without_belalp,0.7000000000000001,29.21969102533444,7.910533821068384,15.646985312385368,1.6890026379142,5.838275447032174,7.736451491316984,4.149272809117974,36,0
Without BelalpSolar,without_belalp,0.8,34.29280296490151,7.767410943557479,15.719837705972168,1.3988908802684819,6.1261825351693915,7.952426762414689,4.72729165490091,36,0
Without BelalpSolar,without_belalp,0.9,39.394168829685555,7.624579162955342,15.720987669519673,1.1107046811166583,6.414613979801288,8.09640850656433,5.30390929868463,36,0
Without BelalpSolar,without_belalp,1.0,44.532259227845884,7.481835018836136,15.724774721511494,0.8234210467971934,6.703337156927773,8.242939702675358,5.87991611013058,36,0
With BelalpSolar,with_belalp,0.0,19.131713883589157,7.527171185822226,15.751434673897165,1.158763321139304,4.428089392644324,8.22426348807494,3.26932607150502,36,0
With BelalpSolar,with_belalp,0.1,23.44974680040741,7.383669653907418,15.751750217841618,0.8759015563991852,4.6777954449262324,8.3680805639342,3.8018938885270472,36,0
With BelalpSolar,with_belalp,0.2,27.865602830491355,7.240305999483098,15.752191198509536,0.5936265028103662,4.92761148639147,8.511885199026437,4.333984983581104,36,0
With BelalpSolar,with_belalp,0.30000000000000004,32.364302537591755,7.0970799307579,15.752757374648354,0.3119682596425264,5.1775347369375595,8.655677443890454,4.865566477295033,36,0
With BelalpSolar,with_belalp,0.4,36.98014730625175,6.953991260033945,15.753448543116974,0.028749048123245302,5.427570881378415,8.79945728308303,5.39882183325517,36,0
With BelalpSolar,with_belalp,0.5,41.64933636916021,6.811039795436955,15.754264406736183,-0.2522881723834871,5.677717332390785,8.943224611299229,5.930005504774272,36,0
With BelalpSolar,with_belalp,0.6000000000000001,46.34744608163999,6.6682253273247625,15.755204795925238,-0.5315906039159017,5.927973633104557,9.086979468600475,6.459564237020459,36,0
With BelalpSolar,with_belalp,0.7000000000000001,51.01333627160568,6.525573923088814,15.756269432182307,-0.8064846756024053,6.17834316261542,9.230695509093493,6.984827838217825,36,0
With BelalpSolar,with_belalp,0.8,55.667359244284,6.383140642152284,15.756659377071628,-1.0602409214707222,6.428817179099497,9.373518734919344,7.489058100570219,36,0
With BelalpSolar,with_belalp,0.9,60.48417446992033,6.240842041330325,15.755775323821581,-1.2847441373378388,6.679404498540862,9.514933282491256,7.964148635878701,36,0
With BelalpSolar,with_belalp,1.0,65.38427288357747,6.0986200819133956,15.754979571436706,-1.5091748594995806,6.93010330037032,9.656359489523311,8.4392781598699,36,0
