P_pcc,Q_pcc
7.669372621779722,3.1601126584343806
7.669372453763247,3.150448604297136
7.669372356207667,3.1504394010985335
7.669372469159562,3.15043934948714
7.669372410442039,3.1504395435629857
7.669372423636104,3.150439458617827
7.669372479937931,3.150439506110511
7.6693725353837,3.150439508720318
7.669372610414109,3.150439972162908
7.669372354512092,3.150439374948617
7.669372427417526,3.150439369691483
7.669372570261851,3.1504393281177547
7.669372602389719,3.1504394037683165
7.669372355389079,3.1504393648150186
7.669372433664312,3.150439416257036
7.6693725459753015,3.1504393741434136
7.6693725121507965,3.150439341539323
7.66937238412276,3.150439282086284
7.670047504144726,3.150439377814279
7.70168921179211,3.150496115172186
7.701689250501724,3.1504960862818314
7.701689001949122,3.150496133117622
7.701689319966744,3.150496092475307
7.701689269126645,3.150496190663357
7.701689198334469,3.1504961058892684
7.701689206344667,3.1504961144661814
7.701689328357783,3.1504961027687144
7.701688929658238,3.1504965480741576
7.701689186233624,3.150496111039146
7.701689281046041,3.1504961327140335
7.701689230503831,3.150496114534918
7.701689163075246,3.1504971935329618
7.701689283176903,3.1504962360780695
7.701689238110145,3.150496104725441
7.701689229789704,3.1504961400807114
7.701689463999365,3.150496216591106
7.701689220234616,3.1624182414086768
7.701689313249727,3.1717780313285493
7.701689303173733,3.171778044705694
7.701689251385405,3.171778086781201
7.701689320911119,3.1717781564701446
7.701689325212744,3.1717780841356036
7.701689261264806,3.1717780454750812
7.7016892306609135,3.1717779289629626
7.701689160950152,3.171777935498628
7.701688921679755,3.171777716953584
7.701689293658755,3.1717781183276723
7.7016893847896934,3.1717780779969953
7.701689370056311,3.171777981402904
7.701688923655055,3.1717780502518527
7.701689248935661,3.1717781120493673
7.701689310579519,3.1717780763912238
7.701689230422312,3.171778148629368
7.701689168632385,3.171778124289804
7.700815661442238,3.1717779274946793
7.669372543413549,3.171721340901396
7.669372369820347,3.1717214004600702
7.669372565174162,3.171721384230559
7.669372452881846,3.1717213789047314
7.669372454829478,3.171721368359292
7.669372325009634,3.171721467866573
7.669372419641802,3.17172137168785
7.6693724107448125,3.171721376357227
7.669372506951976,3.1717213014476746
7.669372415332467,3.1717214022660665
7.669372545561433,3.171721181888903
7.669372373389402,3.171721374209456
7.669372523746211,3.171721344813082
7.669372441694496,3.171721365931369
7.669372391475034,3.171721409076423
7.669372567409517,3.1717213337458308
7.669372442463454,3.171721171259153
7.669372621779722,3.1601126584343806
