P_pcc,Q_pcc
6.019502960076352,4.861894809699152
5.9972521984018385,3.2435680063354084
5.997252227298304,3.243570193470987
5.997252189110441,3.2435678627898596
5.997252189157734,3.243567862738928
5.9972521891468205,3.243567876495945
5.9972521906784095,3.2435678618649035
5.997252190481959,3.243567862834425
5.997252193188615,3.2435678600149913
5.997252206598205,3.2435680588223477
7.299025536511181,2.005378449039199
7.3902301040398015,1.9378489299724606
8.338424944588041,1.362086544646445
8.574347074983962,1.25296688832168
8.581726271277148,1.250309717154778
8.604939351942448,1.2433985706147723
8.644556261235266,1.2358279774252878
8.807683951996296,1.2162486131946935
9.236465039302857,1.195565817253737
9.261783536294388,1.1957030536968887
9.261616875566688,1.1956005443162212
9.262084169309674,1.1958955698164573
9.260645112546626,1.1949813120909312
9.262075226775778,1.1958913224525531
9.26203263421121,1.1958640254597412
9.261611554233241,1.195593999295852
9.262057711606758,1.1958797186216543
9.261539957515197,1.1955475333443246
9.261329255590681,1.195417524808363
9.262001391569356,1.1958464121798897
9.262248244398506,1.1960025130056238
9.261299329555186,1.195400217434326
9.262326925021625,1.1960513250505755
9.262233070847287,1.1959924675147704
9.261525192327099,1.1955408302437718
9.261392075048207,1.1954570823627364
9.254348795002443,3.210965472357202
9.257229360915517,3.763482580233358
9.25722929056792,3.7634788044679226
9.257229386574181,3.763483296756931
9.257229383925733,3.763482946109434
9.257229352548165,3.763483301189808
9.257229384904349,3.7634833014280957
9.257229359856865,3.763483369214555
9.2572293848134,3.763483306755006
9.257229375911265,3.763483311490745
7.29628094484724,5.620646265500909
7.220566689284169,5.682951067757131
6.946087733747845,5.871897653016276
6.792453153273527,5.952844849688518
6.734169355582708,5.977547316742857
6.70996346947868,5.9851706685376485
6.686803683129256,5.990107072521823
6.585049361234269,6.002257971587824
6.060690836729918,6.02545139209542
6.034017178993963,6.025451061011154
6.034017388068605,6.025450972693761
6.034017914465949,6.025451077693106
6.034019893642835,6.025449482232943
6.034017146310362,6.025451008286836
6.034018041962554,6.025451019123466
6.034017168010905,6.025450977944274
6.034017447291262,6.025451046481066
6.034017144698737,6.025451062542743
6.034017863243207,6.025450885977989
6.034017171867163,6.025451057167629
6.034017143851088,6.025451026193878
6.0340171846073645,6.025451050214542
6.0340171537027345,6.025451061890635
6.034018398848275,6.025451009203607
6.034017359779682,6.025447098619225
6.034017143112578,6.025451050572883
6.019502960076352,4.861894809699152
