P_pcc,Q_pcc
8.823250924773044,3.707271082047908
8.823250926081313,3.707271084166128
8.823250925711118,3.707271082668015
8.823250928818023,3.7072710817603896
8.823250924384773,3.707271083002634
8.823250926527205,3.707271083622779
8.823250925614868,3.7072710820753496
8.823250928166095,3.707271082792834
8.823250924612502,3.707271083199242
8.823250926633525,3.707271084406248
8.82325092346982,3.7072710813006378
8.823250926952738,3.7072710826482207
8.82325092427186,3.7072710805011195
8.823250928096828,3.707271082646533
8.823250924272914,3.707271080056176
8.823250924357637,3.7072710830562494
8.823250926648512,3.707271081912654
8.823250923460051,3.7072710820445702
8.82325092899298,3.7072710849199453
8.82325092350539,3.707271082310466
8.823250921424018,3.707271081639714
8.823250926746782,3.707271081612112
8.823250928442611,3.707271085813781
8.823250926744189,3.7072710819228276
8.823250928882391,3.7072710839035343
8.823250924748752,3.7072710818276464
8.823250923169182,3.707271080887405
8.823250920180381,3.707271081071687
8.823250925066914,3.707271082371094
8.823250926539286,3.707271083748873
8.823250925819208,3.707271084203265
8.823250927947537,3.7072710823569
8.823250924507771,3.7072710820298616
8.823250924305134,3.7072710835700846
8.823250926402569,3.707271084686525
8.823250928341363,3.7072710840854146
8.823250927607665,3.707271083957001
8.823250924643025,3.707271081040189
8.823250927267281,3.7072710834003
8.823250927861674,3.7072710832909905
8.823250923224583,3.7072710811204
8.823250926008916,3.7072710817982313
8.823250924254745,3.7072710814021943
8.823250925266716,3.7072710823468222
8.823250925074186,3.707271080240859
8.823250927429013,3.7072710817747803
8.82325092279575,3.7072710842598946
8.823250929511403,3.7072710849800314
8.8232509293832,3.7072710839535756
8.823250924483084,3.707271081754521
8.823250925497966,3.7072710831842195
8.82325092397709,3.707271080883681
8.823250928731358,3.7072710845973575
8.82325092710777,3.707271084078245
8.823250928217332,3.707271082811613
8.823250926779632,3.707271084076668
8.823250927643828,3.7072710828239814
8.823250928510891,3.707271082999767
8.823250927160883,3.707271083522618
8.823250929092701,3.7072710836032914
8.823250927285843,3.707271081457232
8.823250925668987,3.7072710835574503
8.823250923636065,3.7072710822982544
8.823250928631824,3.7072710831983313
8.82325092531388,3.7072710830741014
8.82325092810703,3.707271083669485
8.823250923860023,3.7072710810398464
8.823250924589537,3.7072710849968504
8.8232509245642,3.7072710825073116
8.82325092757625,3.7072710825329187
8.823250928391882,3.707271084718102
8.823250927292575,3.707271084653828
8.823250924773044,3.707271082047908
