P_pcc,Q_pcc
8.885753087808553,3.6593512909230412
8.882064030938636,2.871670574314521
8.882064030676702,2.8716705768756583
8.8820640432059,2.87167060109914
8.882064030629408,2.8716705725319116
8.882064030687616,2.8716705728202214
8.8820640313279,2.8716705958604507
8.882064089633786,2.871670618454118
8.882064033317874,2.871670621910198
8.882064037545206,2.8716707079329353
8.882064033547067,2.871670572527364
8.88206412737054,2.8716706029254055
8.882064057543175,2.8716705737379016
8.882064395478665,2.8716705820861534
8.882064036486554,2.871670572692892
8.882064071793138,2.871670572872972
8.88206422951771,2.8716705799752162
8.882064062294376,2.8716705728475063
8.890443276151927,2.871672371667046
9.236931284100137,2.8769965552583017
9.236931058112532,2.876996554190555
9.236931336748967,2.876996554894504
9.236931153354817,2.876996557170969
9.236931238552643,2.8769965601395597
9.236931069848652,2.8769965758456237
9.236930412840593,2.8769965928358943
9.236931338393333,2.8769965547508036
9.236931339073635,2.8769965546662206
9.236931287588959,2.87699657338635
9.236931111921876,2.876996644488827
9.23693133627603,2.8769965551809946
9.236931320243457,2.876996564295041
9.236931337683927,2.8769965566934843
9.236931314797403,2.876996559388317
9.236931340070441,2.8769966739992014
9.236931325034675,2.8769973881753685
9.242164598930685,3.7267681783159787
9.246894737148978,4.634564828277689
9.24689461402886,4.634560304488332
9.246894713993242,4.634563317740685
9.246894734002126,4.634564833233526
9.246894733820227,4.634564832617798
9.246894733911176,4.634564818721628
9.246894562198577,4.634564329038767
9.246894295225502,4.6345648014548715
9.246894729771157,4.634564833360855
9.24689473374383,4.634564833848344
9.246894659583631,4.634564807875904
9.246894726224127,4.634564833395416
9.246894549040007,4.634564823335495
9.246894683659775,4.634564831635544
9.24689469727673,4.634564831958414
9.246894653293566,4.6345648317546875
9.24689459759611,4.634564829771989
9.240024421331327,4.634563940565386
8.892001254662318,4.629207897287415
8.892000872088829,4.629207898920868
8.892000872154313,4.629207898715322
8.892000885072775,4.629207897676679
8.89200087124118,4.629207898704408
8.89200087781137,4.629207898481582
8.892000933730742,4.629207892607155
8.892000916432153,4.629207898000459
8.89200089422593,4.62920789637792
8.892000878022372,4.6292078981559825
8.892000910007482,4.629207890900943
8.89200088166399,4.629207893131934
8.89200088200596,4.629207888004203
8.892000919560815,4.629207745038002
8.892001001651806,4.629207815877635
8.892000903349981,4.6292077784310095
8.892000880165142,4.629204111709441
8.885753087808553,3.6593512909230412
