P_pcc_MW,Q_pcc_MVAr,P_flex_MW,Q_flex_MVAr
9.152148905791982,4.633115390739725,-0.13068432092375504,-0.8812521497668723
9.146574818300003,4.6331138383093275,-0.125110233431777,-0.8812505973364751
8.897091755331028,4.629313522779188,0.12437282953719883,-0.8774502818063351
8.891191332051676,3.6961414489232998,0.13027325281655067,0.05572179204955263
8.887154362212048,2.8717755222113794,0.13431022265617887,0.8800877187614731
8.892117269984178,2.871775712973013,0.12934731488404955,0.8800875279998394
8.902435252575161,2.871925843359869,0.11902933229306474,0.8799373976129834
8.929011842247728,2.8723219482290596,0.0924527426204976,0.879541292743793
9.142192675563807,2.87555546381302,-0.12072809069558135,0.8763077771598327
9.152148905791982,4.633115390739725,-0.13068432092375504,-0.8812521497668723
