quantity,mean_area_MW_MVAr,spearman_alpha,spearman_cos_phi
Without BelalpSolar,19.29231008657382,0.746384872080089,-0.43492769744160176
With BelalpSolar,37.70829688123945,0.6186874304783093,-0.5768631813125694
Net BelalpSolar gain,18.41598679466562,-0.17463848720800887,-0.8433815350389321
