duration_h,duration_label,P_flex_pos_max_MW,P_flex_neg_min_MW,P_hp_reference_MW,hp_flex_factor,n_time_steps
0.25,15 min.,3.1704281018282927,-0.1413275692393654,-3.117415955942642,1.0,1
0.5,30 min.,3.1704281018282927,-0.1413275692393654,-3.117415955942642,1.0,1
1.0,1 h,3.1704281018282927,-0.1413275692393654,-3.117415955942642,1.0,1
2.0,2 h,2.719512630908256,-0.03274874015604279,-3.117415955942642,0.8571428571428571,2
4.0,4 h,1.8158221674066497,-0.004468657803954553,-3.117415955942642,0.5714285714285714,4
8.0,8 h,0.004516831790854159,-0.004468657142575519,-3.117415955942642,0.0,8
