P_pcc_MW,Q_pcc_MVAr,P_flex_MW,Q_flex_MVAr
5.406308578127209,4.706439832416436,0.253857484771288,-0.9947087307373295
5.393391090288787,3.7040665230206287,0.26677497260970995,0.007664578658477694
5.3933910907908285,3.7040665145832463,0.2667749721076689,0.007664587095860043
7.083882372073276,2.071227973405257,-1.4237163091747789,1.6405031282738491
7.179419307423814,2.0001563087853356,-1.5192532445253164,1.7115747928937708
8.177481659506157,1.3917668509420764,-2.5173155966076592,2.31996425073703
8.432529988858732,1.2736150377213562,-2.772363925960235,2.43811606395775
8.440646297178318,1.270823481516345,-2.780480234279821,2.4409076201627613
8.465921484370483,1.2634514228157059,-2.8057554214719858,2.4482796788634005
8.50897486885151,1.2550590080245456,-2.848808805953013,2.4566720936545607
8.693521378809237,1.2330194088062854,-3.0333553159107396,2.478711692872821
9.173971886571962,1.2099979500208065,-3.513805823673465,2.5017331516583
9.199874514022667,1.2096797676013011,-3.53970845112417,2.5020513340778052
9.199914004762832,1.2097035969281933,-3.5397479418643343,2.502027504750913
9.200126111780264,1.2098361602847945,-3.539960048881767,2.501894941394312
9.200376549233624,1.2099952129519806,-3.540210486335127,2.5017358887271257
9.200573246635031,1.2101213520099918,-3.5404071837365336,2.5016097496691145
9.200798874113389,1.2102671003776777,-3.5406328112148913,2.5014640013014287
9.195912317958573,3.7732934759678756,-3.535746255060076,-0.061562374288769206
9.195911006121605,3.7732953609738615,-3.535744943223108,-0.061564259294755175
7.218882879486046,5.647890231846759,-1.5587168165875482,-1.9361591301676526
7.145001115990453,5.708793502465596,-1.484835053091956,-1.9970624007864899
6.444080477776879,6.1969440292386935,-0.7839144148783816,-2.485212927559587
6.198900274379412,6.326572469074563,-0.5387342114809144,-2.6148413673954565
6.166527109951858,6.3376919660831845,-0.5063610470533604,-2.625960864404078
6.124279786301486,6.346878836906399,-0.4641137234029884,-2.6351477352272923
5.941324590145086,6.370737937588274,-0.2811585272465891,-2.6590068359091674
5.465959347715398,6.396518819624362,0.19420671518309973,-2.6847877179452553
5.438057872666832,6.396938061307992,0.2221081902316655,-2.6852069596288857
5.4379206614576105,6.396853980278138,0.22224540144088678,-2.6851228785990315
5.436476086179027,6.395954176506166,0.22368997671947,-2.6842230748270595
5.406308578127209,4.706439832416436,0.253857484771288,-0.9947087307373295
