duration_h,duration_label,P_flex_pos_max_MW,P_flex_neg_min_MW,P_flex_pos_raw_MW,P_flex_neg_raw_MW,Q_flex_max_MVAr,Q_flex_min_MVAr,P_reference_MW,Q_reference_MVAr,hp_flex_factor,P_hp_reference_MW,P_hp_upper_MW,alpha,n_time_steps
0.25,15 min.,0.26677497260970995,-3.5406328112148913,0.26677497260970995,-3.5406328112148913,2.5020513340778052,-2.6852069596288857,5.660166062898497,3.7117311016791064,1.0,-0.2727328934153176,0.0,,1
0.5,30 min.,0.26677497260970995,-3.5406328112148913,0.26677497260970995,-3.5406328112148913,2.5020513340778052,-2.6852069596288857,5.660166062898497,3.7117311016791064,1.0,-0.2727328934153176,0.0,,1
1.0,1 h,0.26677497260970995,-3.5406328112148913,0.26677497260970995,-3.5406328112148913,2.5020513340778052,-2.6852069596288857,5.660166062898497,3.7117311016791064,1.0,-0.2727328934153176,0.0,,1
2.0,2 h,0.20259263471733138,-2.4937584591851207,0.21064540408042376,-2.494103349505167,2.3056045125554068,-1.9678772263605424,6.672873833831545,3.7110511758328357,0.8571428571428571,-0.2395422627718014,-0.034220323253114505,,2
4.0,4 h,0.1312237904460033,-0.5000482500926217,0.13229440114810131,-0.5032971829459711,0.7483359678610155,-0.42111624425979244,8.648269904166227,3.738317853673834,0.5714285714285714,-0.22434967241222042,-0.09614985960523736,,4
8.0,8 h,0.0009698796664726196,-0.0008060125837217724,0.003914720356988255,-0.0046638895000796765,0.26611995420015216,-0.03012107780776696,9.146563463422353,3.7510290231912222,0.0,-0.22434967241222042,-0.22434967241222042,,8
