P_pcc,Q_pcc
8.91524874632887,2.9743204875794618
8.922457665525144,1.273845704839914
8.922366871156555,1.273790880445631
8.922589514208084,1.2739309365051668
8.922037886921316,1.27358110910518
8.92275413875177,1.274034419133386
8.922692335527245,1.273996770903068
8.922853925294476,1.274097556124616
8.922947755603673,1.2741570410571512
8.922733012503159,1.2740205949494339
8.922846394118096,1.274092531554743
8.922635862847528,1.273958588854839
8.93920297195291,1.2639746529348486
8.968123512244347,1.2506264186240514
8.969158440428146,1.2503773328544412
8.972121886712557,1.2496067228221364
8.976860779770504,1.2485951635671881
8.997394919555518,1.2461801247964104
9.050945948267326,1.2435939874048927
9.053402245619509,1.2434408114704638
9.053460137336515,1.2434776546260764
9.053721581207355,1.24364426457214
9.053682203495555,1.2436187690591396
9.053884704688244,1.2437476718914695
9.053503588169406,1.2435057714938011
9.05348100953779,1.2434914914892943
9.053827148320124,1.2437117786366798
9.054092165013572,1.243882981997558
9.053768224846863,1.243673995237259
9.054102216141473,1.2438892497748384
9.05380535308359,1.2436973068161024
9.05393939705391,1.2437825555325617
9.054063361912995,1.2438614930133554
9.053689225467679,1.2436227987882376
9.053567665221635,1.2435456932171292
9.053177356843662,1.2432977893113275
9.046703879339475,3.0623460810575125
9.05007485338865,3.796660109325785
9.050074926530215,3.796664327212966
9.050074981263606,3.7966670417836212
9.050074974977178,3.7966660367937948
9.050074978444172,3.7966670266423534
9.050074950682756,3.796667184841681
9.050074980794307,3.796667063626046
9.050074973845767,3.7966671018648412
9.05007498201303,3.7966670737550885
9.050074908060196,3.796667118539517
9.050073391164915,3.796667703433741
9.05007270344504,3.7966679007713537
9.04699018750398,3.7979915040350534
9.023717185511487,3.8068165585345923
9.00384052501613,3.812991758080898
9.000963662809227,3.813559884991264
8.988353871114668,3.8149518253812857
8.922531192496535,3.8176353746339373
8.919500138850708,3.8176353651497266
8.919500402902486,3.8176353447515794
8.919500021092972,3.8176353057269807
8.919500327625428,3.817635314177096
8.9195001655753,3.8176353226444917
8.919499991054181,3.8176353352100705
8.919500322914246,3.8176352678765397
8.91949997644042,3.817635347320902
8.919500111540401,3.8176352488162593
8.919500018513645,3.8176353428543734
8.919499981708213,3.817635339604749
8.919499975225335,3.81763534520087
8.919499974985229,3.817635338178661
8.91949997680058,3.8176351165921005
8.919500256437459,3.8176353354510866
8.91949997577467,3.817635341787536
8.919499977295345,3.8176350422481846
8.91524874632887,2.9743204875794618
