P_pcc_MW,Q_pcc_MVAr,P_flex_MW,Q_flex_MVAr
8.517046113720223,3.599724940493099,0.1312237904460033,0.1385929131807351
9.148318154258849,2.989981885812819,-0.5000482500926217,0.7483359678610155
9.146864565107535,3.781149975588959,-0.49859466094130767,-0.04283212191512509
9.146864564998396,3.781149980131886,-0.4985946608321683,-0.0428321264580518
8.774510859799193,4.118377216830595,-0.1262409556329656,-0.3800593631567609
8.774510419512808,4.118377473933833,-0.12624051534658073,-0.380059620259999
8.768599429749884,4.120960648660002,-0.12032952558365614,-0.38264279498616827
8.724066393268004,4.138148119950529,-0.07579648910177592,-0.39983026627669477
8.68585367193009,4.150220253448424,-0.03758376776386299,-0.4119023997745898
8.68032338658304,4.151325814790653,-0.0320534824168132,-0.41300796111681853
8.65562135674918,4.154080462146339,-0.00735145258295259,-0.41576260847250524
8.526195454789558,4.159434042704561,0.1220744493766687,-0.4211161890307267
8.519949737343268,4.159434097933627,0.12832016682295944,-0.42111624425979244
8.519949725604041,4.159434050744141,0.1283201785621857,-0.4211161970703073
8.517046113720223,3.599724940493099,0.1312237904460033,0.1385929131807351
