duration_h,duration_label,P_flex_pos_max_MW,P_flex_neg_min_MW,P_hp_reference_MW,hp_flex_factor,n_time_steps
0.25,15 min.,3.1657307038512954,-0.6221467318027862,-3.117415955942642,1.0,1
0.5,30 min.,3.1657307038512954,-0.6221467318027862,-3.117415955942642,1.0,1
1.0,1 h,3.1657307038512954,-0.6221467318027862,-3.117415955942642,1.0,1
2.0,2 h,2.7172330343964854,-0.12887608616379914,-3.117415955942642,0.8571428571428571,2
4.0,4 h,1.8124944653573039,-0.015727521623028373,-3.117415955942642,0.5714285714285714,4
8.0,8 h,-0.0018939585379286986,-0.015727521623028373,-3.117415955942642,0.0,8
