bus,P_pv_installed,irradiance_mean_norm,P_pv,Q_pv
0,0.10878562053121539,0.1598289925509457,0.01738709613353363,0.005714862134309374
1,0.020792349642061225,0.1598268267659224,0.0033231752642982077,0.0010922748880983887
2,0.03516779123569719,0.1598279025839595,0.005620794311712036,0.0018474657487395148
3,0.0,0.1599426249228777,0.0,0.0
4,0.0,0.1593181189954505,0.0,0.0
5,0.0,0.1603062415788661,0.0,0.0
6,0.021158843050843798,0.1601005158706868,0.0033875416876669884,0.0011134311083669203
7,0.0,0.1598280968288829,0.0,0.0
8,0.04474741335591699,0.1593181275892935,0.007129074110328839,0.002343213344707235
9,0.0,0.1581313193743678,0.0,0.0
10,0.08083386762378021,0.1601209733060826,0.012943197560014726,0.004254223308166685
11,0.0,0.1567952675358346,0.0,0.0
12,0.03179203237653345,0.1578485607877036,0.005018326555151881,0.0016494441732754232
13,0.05447052825681039,0.1587382274284062,0.008646555102574994,0.0028419852267695957
14,0.0772957955836721,0.1601001966339142,0.01237507207192074,0.004067489490483209
15,0.03006943786088613,0.1598283747485424,0.004805949382907717,0.0015796391724559329
16,0.09954654655911305,0.1634226297142532,0.016268158417662597,0.0053470850924174215
17,0.09849870101059073,0.1617482750820448,0.015931994986285114,0.0052365935157812574
18,0.0,0.1558404935318398,0.0,0.0
19,0.0,0.1600413866191557,0.0,0.0
20,0.0,0.1594174601393299,0.0,0.0
21,0.12244285064095757,0.1600871946493185,0.019601532463976407,0.006442712158056523
22,0.07668556066029555,0.159417238045464,0.012225000278432206,0.004018163277327843
23,0.10859457162246013,0.1574454037115113,0.017097716169976865,0.005619747539931026
24,0.0,0.1578473510352112,0.0,0.0
25,0.0,0.158057451502744,0.0,0.0
26,0.0,0.1501066851583092,0.0,0.0
27,0.0,0.1617495618147472,0.0,0.0
28,0.0,0.1609416214428586,0.0,0.0
29,0.11998836936920741,0.1232371340268897,0.01478702275762096,0.004860259343348132
30,0.0,0.1609617690481757,0.0,0.0
31,0.0,0.163485872449664,0.0,0.0
32,0.09422079052644866,0.162883338943672,0.015346996958860257,0.005044313962605718
33,0.11831910544399377,0.1530513655297065,0.018108900656456577,0.0059521078080403585
34,0.03359491958944614,0.1576749877125143,0.005297078533468826,0.001741065517835366
35,0.0,0.1532927334912657,0.0,0.0
36,0.0298124594774103,0.1650119035195835,0.004919410686967921,0.0016169320996533877
37,0.08027156564704029,0.1634697414464084,0.013121972081820076,0.004312983651895056
38,0.0,0.1667938389740905,0.0,0.0
39,0.04409514836470373,0.1713361976432113,0.007555095055321605,0.002483239657799636
40,0.0,0.1721188086313159,0.0,0.0
41,0.0,0.1715760475472283,0.0,0.0
42,0.062120115430081224,0.1728877901281041,0.010739809479209484,0.003530004668465442
43,0.11148925030532397,0.1705784020994616,0.019017658168349074,0.006250801957661314
44,0.08613092179728613,0.164247982645573,0.014146830148607856,0.004649838208512538
45,0.0,0.1642472419597271,0.0,0.0
46,0.0864206944688304,0.163773181992574,0.014153392123168395,0.004651995025249175
47,0.0,0.1658141490774462,0.0,0.0
48,0.03055702274739756,0.1678129603403646,0.005127864446428646,0.0016854475370529061
49,0.0,0.1617227907083399,0.0,0.0
50,0.0,0.1619182016439837,0.0,0.0
51,0.0,0.1554525678907886,0.0,0.0
52,0.06621701115569877,0.1617225651420631,0.010708784900140213,0.003519807382455508
53,0.10980341127970936,0.1619175475777069,0.017779099070076857,0.005843707268734571
54,0.0,0.1634691504431738,0.0,0.0
55,0.0,0.164015538053635,0.0,0.0
56,0.11208990661644426,0.1554518724408476,0.017424585865246013,0.0057271844132306534
57,0.09469242577237626,0.164015979351364,0.015531070950212632,0.005104816157740075
58,0.018259656224992468,0.1555716804088884,0.002840685402610698,0.0009336881396517561
59,0.03917800488226725,0.1656273005612487,0.006488947190025346,0.0021328138007063796
60,0.0,0.1650372842871963,0.0,0.0
61,0.0,0.1697671267175918,0.0,0.0
62,0.0659025424688162,0.1641135787670236,0.010815502094403186,0.003554883627959032
63,0.0577956131333529,0.1697659290547925,0.009811725958875023,0.0032249583670530607
64,0.0,0.1614835040004995,0.0,0.0
65,0.025394996651768628,0.1614834458525576,0.004100871566741761,0.0013478913013679585
66,0.0,0.1678889945538834,0.0,0.0
67,0.0,0.1696465788039258,0.0,0.0
68,0.03300150440905011,0.1685670084267602,0.005562964871816113,0.0018284581310343286
69,0.020579495272216072,0.1491347834080581,0.0030691185700690996,0.001008770490890994
70,0.0,0.1491341787320939,0.0,0.0
71,0.0,0.1681534445123342,0.0,0.0
72,0.0234338164652229,0.1604736377074916,0.0037605097735440313,0.0012360197899336895
73,0.025826883503579767,0.1604452164367623,0.004143799913618901,0.001362001166648079
74,0.05503975822200954,0.1302567913530743,0.007169302302847952,0.0023564357121683426
75,0.0,0.1633463294236504,0.0,0.0
76,0.0,0.1600413866191557,0.0,0.0
