Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Switzerland,CHE,2024-01-04 06:00:00,2024-01-04 07:00:00,84.19
Switzerland,CHE,2024-01-04 07:00:00,2024-01-04 08:00:00,90.7
Switzerland,CHE,2024-01-04 08:00:00,2024-01-04 09:00:00,93.95
Switzerland,CHE,2024-01-04 09:00:00,2024-01-04 10:00:00,91.6
Switzerland,CHE,2024-01-04 10:00:00,2024-01-04 11:00:00,88.38
Switzerland,CHE,2024-01-04 11:00:00,2024-01-04 12:00:00,86.53
Switzerland,CHE,2024-01-04 12:00:00,2024-01-04 13:00:00,87.3
Switzerland,CHE,2024-01-04 13:00:00,2024-01-04 14:00:00,91.56
Switzerland,CHE,2024-01-04 14:00:00,2024-01-04 15:00:00,93.79
Switzerland,CHE,2024-01-04 15:00:00,2024-01-04 16:00:00,104.93
Switzerland,CHE,2024-01-04 16:00:00,2024-01-04 17:00:00,108.06
Switzerland,CHE,2024-01-04 17:00:00,2024-01-04 18:00:00,109.09
Switzerland,CHE,2024-01-04 18:00:00,2024-01-04 19:00:00,108.09
Switzerland,CHE,2024-01-04 19:00:00,2024-01-04 20:00:00,99.09
Switzerland,CHE,2024-01-04 20:00:00,2024-01-04 21:00:00,95.45
Switzerland,CHE,2024-01-04 21:00:00,2024-01-04 22:00:00,92.6
Switzerland,CHE,2024-01-04 22:00:00,2024-01-04 23:00:00,87.96
Switzerland,CHE,2024-01-04 23:00:00,2024-01-05 00:00:00,86.8
Switzerland,CHE,2024-01-05 00:00:00,2024-01-05 01:00:00,81.64
Switzerland,CHE,2024-01-05 01:00:00,2024-01-05 02:00:00,78.29
Switzerland,CHE,2024-01-05 02:00:00,2024-01-05 03:00:00,77.21
Switzerland,CHE,2024-01-05 03:00:00,2024-01-05 04:00:00,76.74
Switzerland,CHE,2024-01-05 04:00:00,2024-01-05 05:00:00,82.9
Switzerland,CHE,2024-01-05 05:00:00,2024-01-05 06:00:00,88.54
Switzerland,CHE,2024-01-05 06:00:00,2024-01-05 07:00:00,100.02
Switzerland,CHE,2024-01-05 07:00:00,2024-01-05 08:00:00,104.07
Switzerland,CHE,2024-01-05 08:00:00,2024-01-05 09:00:00,100.77
Switzerland,CHE,2024-01-05 09:00:00,2024-01-05 10:00:00,98.19
Switzerland,CHE,2024-01-05 10:00:00,2024-01-05 11:00:00,98.01
Switzerland,CHE,2024-01-05 11:00:00,2024-01-05 12:00:00,92.52
Switzerland,CHE,2024-01-05 12:00:00,2024-01-05 13:00:00,93.79
Switzerland,CHE,2024-01-05 13:00:00,2024-01-05 14:00:00,95.08
Switzerland,CHE,2024-01-05 14:00:00,2024-01-05 15:00:00,99.42
Switzerland,CHE,2024-01-05 15:00:00,2024-01-05 16:00:00,100.92
Switzerland,CHE,2024-01-05 16:00:00,2024-01-05 17:00:00,109.05
Switzerland,CHE,2024-01-05 17:00:00,2024-01-05 18:00:00,110.35
Switzerland,CHE,2024-01-05 18:00:00,2024-01-05 19:00:00,105.82
Switzerland,CHE,2024-01-05 19:00:00,2024-01-05 20:00:00,98.25
Switzerland,CHE,2024-01-05 20:00:00,2024-01-05 21:00:00,92.97
Switzerland,CHE,2024-01-05 21:00:00,2024-01-05 22:00:00,88.55
Switzerland,CHE,2024-01-05 22:00:00,2024-01-05 23:00:00,85.87
Switzerland,CHE,2024-01-05 23:00:00,2024-01-06 00:00:00,80.64
Switzerland,CHE,2024-01-06 00:00:00,2024-01-06 01:00:00,76.02
Switzerland,CHE,2024-01-06 01:00:00,2024-01-06 02:00:00,75.63
Switzerland,CHE,2024-01-06 02:00:00,2024-01-06 03:00:00,73.51
Switzerland,CHE,2024-01-06 03:00:00,2024-01-06 04:00:00,73.71
Switzerland,CHE,2024-01-06 04:00:00,2024-01-06 05:00:00,75.03
Switzerland,CHE,2024-01-06 05:00:00,2024-01-06 06:00:00,75.3
Switzerland,CHE,2024-01-06 06:00:00,2024-01-06 07:00:00,80.05
Switzerland,CHE,2024-01-06 07:00:00,2024-01-06 08:00:00,83.97
Switzerland,CHE,2024-01-06 08:00:00,2024-01-06 09:00:00,88.3
Switzerland,CHE,2024-01-06 09:00:00,2024-01-06 10:00:00,90.24
Switzerland,CHE,2024-01-06 10:00:00,2024-01-06 11:00:00,92.29
Switzerland,CHE,2024-01-06 11:00:00,2024-01-06 12:00:00,91.04
Switzerland,CHE,2024-01-06 12:00:00,2024-01-06 13:00:00,89.69
Switzerland,CHE,2024-01-06 13:00:00,2024-01-06 14:00:00,90.22
Switzerland,CHE,2024-01-06 14:00:00,2024-01-06 15:00:00,91.31
Switzerland,CHE,2024-01-06 15:00:00,2024-01-06 16:00:00,95.06
Switzerland,CHE,2024-01-06 16:00:00,2024-01-06 17:00:00,97.84
Switzerland,CHE,2024-01-06 17:00:00,2024-01-06 18:00:00,96.35
Switzerland,CHE,2024-01-06 18:00:00,2024-01-06 19:00:00,92.29
Switzerland,CHE,2024-01-06 19:00:00,2024-01-06 20:00:00,90.2
Switzerland,CHE,2024-01-06 20:00:00,2024-01-06 21:00:00,86.9
Switzerland,CHE,2024-01-06 21:00:00,2024-01-06 22:00:00,86.47
Switzerland,CHE,2024-01-06 22:00:00,2024-01-06 23:00:00,82.47
Switzerland,CHE,2024-01-06 23:00:00,2024-01-07 00:00:00,85.0
Switzerland,CHE,2024-01-07 00:00:00,2024-01-07 01:00:00,80.72
Switzerland,CHE,2024-01-07 01:00:00,2024-01-07 02:00:00,77.53
Switzerland,CHE,2024-01-07 02:00:00,2024-01-07 03:00:00,74.09
Switzerland,CHE,2024-01-07 03:00:00,2024-01-07 04:00:00,72.24
Switzerland,CHE,2024-01-07 04:00:00,2024-01-07 05:00:00,74.05
Switzerland,CHE,2024-01-07 05:00:00,2024-01-07 06:00:00,76.08
Switzerland,CHE,2024-01-07 06:00:00,2024-01-07 07:00:00,79.45
Switzerland,CHE,2024-01-07 07:00:00,2024-01-07 08:00:00,82.53
Switzerland,CHE,2024-01-07 08:00:00,2024-01-07 09:00:00,89.24
Switzerland,CHE,2024-01-07 09:00:00,2024-01-07 10:00:00,93.63
Switzerland,CHE,2024-01-07 10:00:00,2024-01-07 11:00:00,95.4
Switzerland,CHE,2024-01-07 11:00:00,2024-01-07 12:00:00,95.02
Switzerland,CHE,2024-01-07 12:00:00,2024-01-07 13:00:00,91.93
Switzerland,CHE,2024-01-07 13:00:00,2024-01-07 14:00:00,91.87
Switzerland,CHE,2024-01-07 14:00:00,2024-01-07 15:00:00,92.32
Switzerland,CHE,2024-01-07 15:00:00,2024-01-07 16:00:00,96.76
Switzerland,CHE,2024-01-07 16:00:00,2024-01-07 17:00:00,104.77
Switzerland,CHE,2024-01-07 17:00:00,2024-01-07 18:00:00,108.16
Switzerland,CHE,2024-01-07 18:00:00,2024-01-07 19:00:00,104.75
Switzerland,CHE,2024-01-07 19:00:00,2024-01-07 20:00:00,101.75
Switzerland,CHE,2024-01-07 20:00:00,2024-01-07 21:00:00,98.41
Switzerland,CHE,2024-01-07 21:00:00,2024-01-07 22:00:00,96.07
Switzerland,CHE,2024-01-07 22:00:00,2024-01-07 23:00:00,92.28
Switzerland,CHE,2024-01-07 23:00:00,2024-01-08 00:00:00,89.38
Switzerland,CHE,2024-01-08 00:00:00,2024-01-08 01:00:00,88.45
Switzerland,CHE,2024-01-08 01:00:00,2024-01-08 02:00:00,86.55
Switzerland,CHE,2024-01-08 02:00:00,2024-01-08 03:00:00,85.08
Switzerland,CHE,2024-01-08 03:00:00,2024-01-08 04:00:00,85.06
Switzerland,CHE,2024-01-08 04:00:00,2024-01-08 05:00:00,88.57
Switzerland,CHE,2024-01-08 05:00:00,2024-01-08 06:00:00,100.47
Switzerland,CHE,2024-01-08 06:00:00,2024-01-08 07:00:00,108.36
Switzerland,CHE,2024-01-08 07:00:00,2024-01-08 08:00:00,117.83
Switzerland,CHE,2024-01-08 08:00:00,2024-01-08 09:00:00,117.62
Switzerland,CHE,2024-01-08 09:00:00,2024-01-08 10:00:00,112.54
Switzerland,CHE,2024-01-08 10:00:00,2024-01-08 11:00:00,111.62
Switzerland,CHE,2024-01-08 11:00:00,2024-01-08 12:00:00,105.08
Switzerland,CHE,2024-01-08 12:00:00,2024-01-08 13:00:00,104.96
Switzerland,CHE,2024-01-08 13:00:00,2024-01-08 14:00:00,107.84
Switzerland,CHE,2024-01-08 14:00:00,2024-01-08 15:00:00,111.06
Switzerland,CHE,2024-01-08 15:00:00,2024-01-08 16:00:00,119.23
Switzerland,CHE,2024-01-08 16:00:00,2024-01-08 17:00:00,136.73
Switzerland,CHE,2024-01-08 17:00:00,2024-01-08 18:00:00,137.08
Switzerland,CHE,2024-01-08 18:00:00,2024-01-08 19:00:00,128.57
Switzerland,CHE,2024-01-08 19:00:00,2024-01-08 20:00:00,116.55
Switzerland,CHE,2024-01-08 20:00:00,2024-01-08 21:00:00,104.09
Switzerland,CHE,2024-01-08 21:00:00,2024-01-08 22:00:00,102.99
Switzerland,CHE,2024-01-08 22:00:00,2024-01-08 23:00:00,100.93
Switzerland,CHE,2024-01-08 23:00:00,2024-01-09 00:00:00,94.29
Switzerland,CHE,2024-01-09 00:00:00,2024-01-09 01:00:00,93.95
Switzerland,CHE,2024-01-09 01:00:00,2024-01-09 02:00:00,93.07
Switzerland,CHE,2024-01-09 02:00:00,2024-01-09 03:00:00,91.95
Switzerland,CHE,2024-01-09 03:00:00,2024-01-09 04:00:00,91.84
Switzerland,CHE,2024-01-09 04:00:00,2024-01-09 05:00:00,95.77
Switzerland,CHE,2024-01-09 05:00:00,2024-01-09 06:00:00,107.56
Switzerland,CHE,2024-01-09 06:00:00,2024-01-09 07:00:00,126.99
Switzerland,CHE,2024-01-09 07:00:00,2024-01-09 08:00:00,135.76
Switzerland,CHE,2024-01-09 08:00:00,2024-01-09 09:00:00,128.41
Switzerland,CHE,2024-01-09 09:00:00,2024-01-09 10:00:00,112.6
Switzerland,CHE,2024-01-09 10:00:00,2024-01-09 11:00:00,106.91
Switzerland,CHE,2024-01-09 11:00:00,2024-01-09 12:00:00,101.96
Switzerland,CHE,2024-01-09 12:00:00,2024-01-09 13:00:00,102.78
Switzerland,CHE,2024-01-09 13:00:00,2024-01-09 14:00:00,110.73
Switzerland,CHE,2024-01-09 14:00:00,2024-01-09 15:00:00,118.34
Switzerland,CHE,2024-01-09 15:00:00,2024-01-09 16:00:00,129.03
Switzerland,CHE,2024-01-09 16:00:00,2024-01-09 17:00:00,142.72
Switzerland,CHE,2024-01-09 17:00:00,2024-01-09 18:00:00,143.05
Switzerland,CHE,2024-01-09 18:00:00,2024-01-09 19:00:00,132.95
Switzerland,CHE,2024-01-09 19:00:00,2024-01-09 20:00:00,115.89
Switzerland,CHE,2024-01-09 20:00:00,2024-01-09 21:00:00,108.95
Switzerland,CHE,2024-01-09 21:00:00,2024-01-09 22:00:00,103.3
Switzerland,CHE,2024-01-09 22:00:00,2024-01-09 23:00:00,98.72
Switzerland,CHE,2024-01-09 23:00:00,2024-01-10 00:00:00,93.62
Switzerland,CHE,2024-01-10 00:00:00,2024-01-10 01:00:00,91.26
Switzerland,CHE,2024-01-10 01:00:00,2024-01-10 02:00:00,90.59
