bus,P_hp
0,0.2739034619430934
1,0.05235155640131348
2,0.08854644319085746
3,0.0
4,0.0
5,0.0
6,0.05327432370231047
7,0.0
8,0.11266628228376338
9,0.0
10,0.20352576081551144
11,0.0
12,0.08004686361687599
13,0.13714741149202112
14,0.19461750459876634
15,0.07570966722036696
16,0.25064106445204803
17,0.24800276977743557
18,0.0
19,0.0
20,0.0
21,0.3082900158768318
22,0.19308103813109145
23,0.27342243368537894
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.30211005464368385
30,0.0
31,0.0
32,0.23723172774295137
33,0.29790713549150105
34,0.084586223200416
35,0.0
36,0.07506263989694996
37,0.20210998125444052
38,0.0
39,0.11102399134195341
40,0.0
41,0.0
42,0.15640775489920097
43,0.2807107362071426
44,0.21686283118509267
45,0.0
46,0.21759242887939179
47,0.0
48,0.07693732201292558
49,0.0
50,0.0
51,0.0
52,0.1667230329385859
53,0.27646608380602755
54,0.0
55,0.0
56,0.28222308537838814
57,0.23841922408670646
58,0.04597467045271003
59,0.09864347067999875
60,0.0
61,0.0
62,0.16593125492979
63,0.14551940270273708
64,0.0
65,0.06394022909449484
66,0.0
67,0.0
68,0.0830921059495665
69,0.051815625747008175
70,0.0
71,0.0
72,0.059002315058007467
73,0.0650276458256871
74,0.1385806345351811
75,0.0
76,0.0
