bus,latitude,longitude,irradiance_mean_W_m2,irradiance_max_W_m2,irradiance_mean_norm
0,46.328807409886394,8.024048008155432,183.1592305936073,1145.97,0.15982899255094574
1,46.329003896260865,8.023794449431426,183.15994520547946,1145.99,0.15982682676592244
2,46.3292908019672,8.024219177975255,183.16117808219178,1145.99,0.15982790258395954
3,46.3281998098863,8.023194208154681,183.28785045662102,1145.96,0.15994262492287778
4,46.32700000988562,8.023579508155374,182.56741210045664,1145.9299999999998,0.15931811899545056
5,46.32750690988644,8.021458808153026,183.70133447488584,1145.94,0.1603062415788661
6,46.32912962281503,8.023747165057483,183.4735901826484,1145.99,0.16010051587068683
7,46.32934590988657,8.024328208155598,183.16140068493152,1145.99,0.1598280968288829
8,46.3266078098855,8.023302708155178,182.56582876712326,1145.92,0.15931812758929353
9,46.32441010988461,8.022748808155123,181.19793493150684,1145.87,0.1581313193743678
10,46.32697360988632,8.02087490815254,183.48742694063927,1145.9299999999998,0.16012097330608266
11,46.32401880988343,8.026623708159288,179.66385730593606,1145.85,0.1567952675358346
12,46.32659650988433,8.027848008159951,180.88024429223745,1145.91,0.1578485607877036
13,46.32523620988499,8.022856108155041,181.89496004566212,1145.88,0.1587382274284062
14,46.32946220988691,8.023153908154335,183.47482534246575,1146.0,0.16010019663391425
15,46.3294248623872,8.024423751567655,183.1617191780822,1145.99,0.15982837474854247
16,46.34046660989332,8.018543808146848,187.32645776255708,1146.27,0.16342262971425325
17,46.335958609891925,8.015727408144974,185.38940296803653,1146.16,0.16174827508204484
18,46.339015809894214,8.012451808140804,178.63060730593608,1146.24,0.15584049353183982
19,46.338504109894664,8.009737008138075,183.4442385844749,1146.23,0.16004138661915576
20,46.337989409893304,8.013814608142475,182.72588698630136,1146.21,0.15941746013932992
21,46.33810510989443,8.009975808138423,183.49354337899544,1146.21,0.16008719464931856
22,46.33792500989323,8.014188208142887,182.72563242009133,1146.21,0.15941723804546404
23,46.333319209891094,8.014042308143843,180.44660273972602,1146.09,0.15744540371151133
24,46.33347680989127,8.01366260814341,180.9072705479452,1146.09,0.1578473510352112
25,46.33309300989078,8.014806508144698,181.14648401826483,1146.08,0.158057451502744
26,46.32874100988961,8.011313308142075,172.01775799086758,1145.97,0.1501066851583092
27,46.335920809891896,8.015690008144947,185.38926027397258,1146.15,0.16174956181474726
28,46.329536609887214,8.022054508153163,184.439098173516,1146.0,0.16094162144285862
29,46.32701604977776,8.010531515996803,141.2211289954338,1145.9299999999998,0.12323713402688978
30,46.32808050989022,8.007840708138586,184.4557488584475,1145.96,0.16096176904817575
31,46.32869060989204,8.001653108131933,187.34990525114154,1145.97,0.16348587244966406
32,46.3284428098908,8.00602550813659,186.65779109589042,1145.96,0.16288333894367205
33,46.327710709889594,8.0094844081404,175.38921232876712,1145.9499999999998,0.1530513655297065
34,46.35734750989816,8.030825508155658,180.80748515981736,1146.71,0.15767498771251437
35,46.34223060989226,8.025829908154071,175.72252625570778,1146.32,0.15329273349126576
36,46.36677930991326,7.989496608110009,191.26694748858446,1159.11,0.16501190351958353
37,46.361044809911625,7.985392008107079,189.45325684931507,1158.95,0.16346974144640844
38,46.376158709920226,7.979649608097406,193.37243721461186,1159.35,0.16679383897409056
39,46.37114490991945,7.973541508092186,198.61634703196347,1159.22,0.17133619764321134
40,46.37138520991946,7.97386790809247,199.52528652968036,1159.23,0.17211880863131593
41,46.371374609919826,7.972331308090854,198.89610159817352,1159.23,0.17157604754722836
42,46.37711240992065,7.979705008097229,200.44264611872146,1159.38,0.17288779012810418
43,46.370796209919845,7.971350808089963,197.7361894977169,1159.21,0.17057840209946162
44,46.36241520991244,7.984588708105898,190.3617694063927,1158.9900000000002,0.16424798264557303
45,46.36220800991239,7.984602708105963,190.36091095890413,1158.9900000000002,0.1642472419597271
46,46.361915009914654,7.9752005080961474,189.80984246575343,1158.98,0.163773181992574
47,46.36230980991473,7.975567608096441,192.17694063926942,1158.9900000000002,0.1658141490774462
48,46.36624140991875,7.967044908086529,194.51032420091323,1159.09,0.16781296034036464
49,46.36011340991177,7.98307200810486,187.42539383561643,1158.93,0.16172279070833995
50,46.35857740991095,7.983473808105649,187.64538470319636,1158.89,0.16191820164398377
51,46.35780520991112,7.981301408103549,180.14931735159817,1158.87,0.1554525678907886
52,46.36005410991163,7.983513908105339,187.4251324200913,1158.93,0.16172256514206318
53,46.35837477681165,7.983030727672262,187.64462671232877,1158.89,0.1619175475777069
54,46.36047790991151,7.984683308106463,189.45093721461186,1158.94,0.1634691504431738
55,46.358316009910475,7.984870508107181,190.07596689497717,1158.89,0.16401553805363508
56,46.35757890991101,7.981352708103659,180.14851141552512,1158.87,0.15545187244084768
57,46.358441409910384,7.98538390810769,190.07647831050227,1158.89,0.16401597935136403
58,46.344728909904426,7.983328308108817,180.2344589041096,1158.5300000000002,0.15557168040888847
59,46.33130670989319,8.002251708131933,189.81716780821915,1146.05,0.16562730056124877
60,46.33059590989218,8.004739308134722,189.1360285388128,1146.02,0.16503728428719638
61,46.33296650989536,7.99671920812572,196.6276815068493,1158.2200000000005,0.16976712671759184
62,46.328909209892025,8.002257008132519,188.0708789954338,1145.98,0.16411357876702368
63,46.3331639098956,7.996262208125195,196.6279920091324,1158.23,0.16976592905479257
64,46.33527810989985,7.9835799081113485,187.04311301369862,1158.2800000000002,0.16148350400049952
65,46.335258709899854,7.983559308111332,187.04304566210047,1158.2800000000002,0.1614834458525576
66,46.33506440989779,7.991351108119578,194.46246461187215,1158.2800000000002,0.16788899455388345
67,46.3326892098955,7.99575160812477,196.4880605022831,1158.2200000000005,0.16964657880392586
68,46.33515670989754,7.992306008120552,195.24779452054793,1158.2800000000002,0.16856700842676028
69,46.32742206290202,8.009743068569067,170.89951369863013,1145.94,0.1491347834080581
70,46.32719670988921,8.009945008141006,170.8988207762557,1145.94,0.1491341787320939
71,46.366521909918966,7.966843408086254,194.9066575342466,1159.1,0.16815344451233424
72,46.32969626240617,8.023652190766576,183.9027888127854,1146.0,0.16047363770749162
73,46.32968306871871,8.02309640329639,183.87021803652968,1146.0,0.16044521643676238
74,46.33903075395757,8.022890279412923,149.30554452054795,1146.24,0.13025679135307436
75,46.33754840989296,8.014648908143458,187.22756278538813,1146.2,0.16334632942365043
76,46.338504109894664,8.009737008138075,183.4442385844749,1146.23,0.16004138661915576
