Var1,osmid,longitude,latitude,el_dmd,lv_grid,consumers,label,source,voltage,grid_id,trafo,moved_from_water,cluster_area,r,g,b,size,geometry
1428,84,7.88410530801954,46.2789223098981,0.293858472442614,NaN,True,426988655,false,0.993703432553821,108_0,NaN,NaN,NaN,255,0,0,14.6929236221307,POINT (7.884105 46.278922)
1429,146,7.88447970801852,46.2849678099009,0.368956834864042,NaN,True,3438337268,false,0.995585172350812,108_0,NaN,NaN,NaN,255,0,0,18.4478417432021,POINT (7.88448 46.284968)
1430,88,7.86526400800106,46.2723268098997,0,-1,False,434568513,false,0.992204049358482,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.865264 46.272327)
1431,90,7.86082080799503,46.2779736099035,0.10170215404805,NaN,True,436369364,false,0.992075160665938,108_0,NaN,NaN,NaN,255,0,0,5.0851077024025,POINT (7.860821 46.277974)
1432,89,7.8621168079991,46.2663812098976,0,-1,False,436369556,false,0.992001151021025,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.862117 46.266381)
1433,91,7.86225940799875,46.2685147098986,0.145454342458575,NaN,True,3223456693,false,0.991933808955405,108_0,NaN,NaN,NaN,255,0,0,7.27271712292876,POINT (7.862259 46.268515)
1434,136,7.88444040801842,46.2852402099011,0,-1,False,409812282,false,0.995644480023341,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.88444 46.28524)
1435,92,7.86449960799283,46.3041893099153,0.247413922338699,NaN,True,2451697441,false,0.993467523475837,108_0,NaN,NaN,NaN,255,0,0,12.370696116935,POINT (7.8645 46.304189)
1436,93,7.86548440799391,46.3040575099149,0,-1,False,8757362173,false,0.993359709998202,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.865484 46.304058)
1437,104,7.8634857079928,46.2996974099133,0.150026646388023,NaN,True,901405542,false,0.994988876492139,108_0,NaN,NaN,NaN,255,0,0,7.50133231940113,POINT (7.863486 46.299697)
1438,94,7.86563250799381,46.3051112099154,0,-1,False,480287357,false,0.993173063761128,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.865633 46.305111)
1439,102,7.87031430799914,46.3035883099135,0.231928397922756,NaN,True,456162354,false,0.993190188674428,108_0,NaN,NaN,NaN,255,0,0,11.5964198961378,POINT (7.870314 46.303588)
1440,105,7.86368960799323,46.2987763099129,0,-1,False,901405593,false,0.995311663824585,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.86369 46.298776)
1441,96,7.86467430799235,46.3070413099166,0,-1,False,456162169,false,0.992833179873592,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.864674 46.307041)
1442,166,7.86563895565591,46.3054824040968,0.0741712311645183,-1,True,NaN,false,0.993169149307652,108_0,NaN,NaN,NaN,255,0,0,3.70856155822592,POINT (7.865639 46.305482)
1443,95,7.86367430799106,46.3079994099173,0,-1,False,3071472931,false,0.992277092609599,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.863674 46.307999)
1444,97,7.86174690798927,46.3068952099172,0,-1,False,3114667598,false,0.991996820490135,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.861747 46.306895)
1445,101,7.86365880799103,46.3080462099173,0.236899941185997,NaN,True,430853559,false,0.992282485453406,108_0,NaN,NaN,NaN,255,0,0,11.8449970592998,POINT (7.863659 46.308046)
1446,182,7.86492870799248,46.3076151099168,0.405948928123954,NaN,True,3189983096,false,0.992744652648721,108_0,NaN,NaN,NaN,255,0,0,20.2974464061977,POINT (7.864929 46.307615)
1447,98,7.86168030798913,46.3071938099174,0.335747227803509,NaN,True,3150041988,false,0.991982357015102,108_0,NaN,NaN,NaN,255,0,0,16.7873613901755,POINT (7.86168 46.307194)
1448,178,7.86373570799093,46.3088200099177,0.244715253611757,NaN,True,4408630834,false,0.992473281336158,108_0,NaN,NaN,NaN,255,0,0,12.2357626805879,POINT (7.863736 46.30882)
1449,180,7.8647429079922,46.307988909917,0,-1,False,3189975959,false,0.99264027724943,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.864743 46.307989)
1450,179,7.8640721079913,46.3087717099176,0,-1,False,3461491272,false,0.992504139560981,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.864072 46.308772)
1451,107,7.88304000801545,46.2915641099045,0.224620813751468,NaN,True,387191980,false,0.998329975824696,108_0,NaN,NaN,NaN,255,0,0,11.2310406875734,POINT (7.88304 46.291564)
1452,174,7.88236183379481,46.2912021496018,0.166477268842146,-1,True,NaN,false,0.998673182385307,108_0,NaN,NaN,NaN,255,0,0,8.32386344210731,POINT (7.882362 46.291202)
1453,173,7.88341394252468,46.2909665996582,0.368467178742853,-1,True,NaN,false,0.997964501402669,108_0,NaN,NaN,NaN,255,0,0,18.4233589371426,POINT (7.883414 46.290967)
1454,160,7.88216780801461,46.2912086099045,0,-1,False,429340347,false,0.99871171173511,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.882168 46.291209)
1455,147,7.8839013080165,46.290999009904,0,-1,False,429340235,false,0.99787679187185,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.883901 46.290999)
1456,109,7.88216200801458,46.2913109099046,0,-1,False,429340231,false,0.998706916147752,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.882162 46.291311)
1457,114,7.8818888613036,46.2913091718383,0.110310060004891,-1,True,NaN,false,0.998698046018966,108_0,NaN,NaN,NaN,255,0,0,5.51550300024453,POINT (7.881889 46.291309)
1458,172,7.88386940801642,46.2911813099041,0,-1,False,429340348,false,0.997873620998425,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.883869 46.291181)
1459,171,7.88447661668743,46.2912789078852,0.122031760788206,-1,True,NaN,false,0.997866156232168,108_0,NaN,NaN,NaN,255,0,0,6.1015880394103,POINT (7.884477 46.291279)
1460,113,7.88134510801371,46.2913057099048,0.220773794123134,NaN,True,429340320,false,0.998686266775793,108_0,NaN,NaN,NaN,255,0,0,11.0386897061567,POINT (7.881345 46.291306)
1461,158,7.88225260801483,46.2906679099043,0,-1,False,3439720316,false,0.998874250584143,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.882253 46.290668)
1462,110,7.88724450802003,46.2910861099032,0.24744329159197,NaN,True,429340285,false,0.996692212111316,108_0,NaN,NaN,NaN,255,0,0,12.3721645795985,POINT (7.887245 46.291086)
1463,111,7.88670990801952,46.2908195099032,0,-1,False,424097291,false,0.996708203148254,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.88671 46.29082)
1464,112,7.88662490801943,46.2907946099032,0,-1,False,410737228,false,0.996702293661985,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.886625 46.290795)
1465,121,7.88730200802028,46.2902517099028,0.382428856222598,NaN,True,424097286,false,0.996843989734988,108_0,NaN,NaN,NaN,255,0,0,19.1214428111299,POINT (7.887302 46.290252)
1466,123,7.88920330802221,46.2906429099025,0.279173137686235,NaN,True,410737185,false,0.996761165509846,108_0,NaN,NaN,NaN,255,0,0,13.9586568843118,POINT (7.889203 46.290643)
1467,124,7.88637399263212,46.2913085195891,0.07683067939504,-1,True,NaN,false,0.996651954183387,108_0,NaN,NaN,NaN,255,0,0,3.841533969752,POINT (7.886374 46.291309)
1468,122,7.88662967127616,46.289722799051,0.081008229789801,-1,True,NaN,false,0.997001213400407,108_0,NaN,NaN,NaN,255,0,0,4.05041148949005,POINT (7.88663 46.289723)
1469,143,7.88769225058896,46.2895434026711,0.275115852940387,NaN,True,NaN,false,0.996948090574467,108_0,NaN,NaN,NaN,255,0,0,13.7557926470194,POINT (7.887692 46.289543)
1470,144,7.88746097428348,46.2896506692744,0.0889745540055204,-1,True,87,false,0.996955617944924,108_0,NaN,NaN,108,255,0,0,4.44872770027602,POINT (7.887461 46.289651)
1471,168,7.88624550801884,46.2916024099037,0,-1,False,429340281,false,0.996626843141406,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.886246 46.291602)
1472,115,7.88542050801826,46.2903734099033,0.219434909159698,NaN,True,410737233,false,0.997459973498267,108_0,NaN,NaN,NaN,255,0,0,10.9717454579849,POINT (7.885421 46.290373)
1473,116,7.88473860801755,46.2903158099034,0,-1,False,417207627,false,0.997610474868585,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.884739 46.290316)
1474,120,7.88410030801685,46.2904271099037,0,-1,False,417207625,false,0.997726125535524,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.8841 46.290427)
1475,127,7.88431374600227,46.2894629614386,0.288114005991667,NaN,True,NaN,false,0.997289753633158,108_0,NaN,NaN,NaN,255,0,0,14.4057002995834,POINT (7.884314 46.289463)
1476,117,7.88481520801793,46.2890493099028,0.229469520451763,NaN,True,419240823,false,0.997140947392549,108_0,NaN,NaN,NaN,255,0,0,11.4734760225882,POINT (7.884815 46.289049)
1477,118,7.88452700801769,46.2887462099027,0,-1,False,215826732,false,0.997086082168287,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.884527 46.288746)
1478,119,7.88422410801732,46.2889537099029,0,-1,False,419240824,false,0.997207910659888,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.884224 46.288954)
1479,140,7.88403910801733,46.2880900099026,0,-1,False,1605755553,false,0.99696843283694,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.884039 46.28809)
1480,128,7.8839135781154,46.2894968117626,0.0791391868537012,-1,True,86,false,0.99728662073885,108_0,NaN,NaN,108,255,0,0,3.95695934268506,POINT (7.883914 46.289497)
1481,142,7.88449040801779,46.2881398099025,0.0714015146256341,NaN,True,9807210348,false,0.996965093130083,108_0,NaN,NaN,NaN,255,0,0,3.57007573128171,POINT (7.88449 46.28814)
1482,138,7.88328340801656,46.2879231099026,0.112407954436653,NaN,True,288147209,false,0.996832819041179,108_0,NaN,NaN,NaN,255,0,0,5.62039772183266,POINT (7.883283 46.287923)
1483,169,7.88562909178227,46.2914847716964,0.084400245808406,-1,True,NaN,false,0.99659576823551,108_0,NaN,NaN,NaN,255,0,0,4.2200122904203,POINT (7.885629 46.291485)
1484,167,7.88658186153846,46.2916696829918,0.0825599848797894,-1,True,NaN,false,0.996624002609631,108_0,NaN,NaN,NaN,255,0,0,4.12799924398947,POINT (7.886582 46.29167)
1485,125,7.8821634080152,46.2886571099033,0.314519040356684,NaN,True,419240826,false,0.996165736262821,108_0,NaN,NaN,NaN,255,0,0,15.7259520178342,POINT (7.882163 46.288657)
1486,126,7.88145180801446,46.2886143099035,0,-1,False,419240831,false,0.996187772235322,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.881452 46.288614)
1487,129,7.88141270801436,46.2888253099036,0.303123047056833,NaN,True,429340248,false,0.996178616815709,108_0,NaN,NaN,NaN,255,0,0,15.1561523528416,POINT (7.881413 46.288825)
1488,130,7.88200850801526,46.2877118099029,0,-1,False,3438337270,false,0.996274159800498,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.882009 46.287712)
1489,134,7.88241250801581,46.2871872099025,0.371732764095236,NaN,True,3439690068,false,0.996326181577347,108_0,NaN,NaN,NaN,255,0,0,18.5866382047618,POINT (7.882413 46.287187)
1490,161,7.88153500801419,46.2901608099042,0,-1,False,409812292,false,0.99916576096658,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.881535 46.290161)
1491,175,7.88129570053975,46.2904569954097,0.211153833892734,-1,True,NaN,false,0.999274189769734,108_0,NaN,NaN,NaN,255,0,0,10.5576916946367,POINT (7.881296 46.290457)
1492,156,7.8817827642455,46.2902426323632,0.0693951039425628,-1,True,NaN,false,0.999103647011801,108_0,NaN,NaN,NaN,255,0,0,3.46975519712814,POINT (7.881783 46.290243)
1493,135,7.88249640801594,46.2870419099024,0,-1,False,429340301,false,0.996287354480322,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.882496 46.287042)
1494,139,7.88327870801664,46.2875580099025,0,-1,False,288147212,false,0.99674013499927,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.883279 46.287558)
1495,131,7.88062770801301,46.2910668099049,0.200748978303738,NaN,True,429340463,false,0.999632919581681,108_0,NaN,NaN,NaN,255,0,0,10.0374489151869,POINT (7.880628 46.291067)
1496,132,7.88026500801263,46.2910437099049,0.407619351481716,NaN,True,387192003,false,0.99964006721572,108_0,NaN,NaN,NaN,255,0,0,20.3809675740858,POINT (7.880265 46.291044)
1497,133,7.88025730801266,46.2909133099049,0,-1,False,8035152430,false,0.999597490134389,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.880257 46.290913)
1498,152,7.88104590801352,46.2907787099046,0,-1,False,750561728,false,0.999394875718696,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.881046 46.290779)
1499,141,7.88404557970743,46.2875384837133,1.23853585636625,-1,True,NaN,false,0.996644737197219,108_0,NaN,NaN,NaN,255,0,0,61.9267928183124,POINT (7.884046 46.287538)
1500,137,7.88618340802003,46.2862619099011,0,-1,False,429340308,false,0.995579993968291,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.886183 46.286262)
1501,145,7.88669820802055,46.2863645099011,0.225624308809717,NaN,True,3613260271,false,0.995566758293825,108_0,NaN,NaN,NaN,255,0,0,11.2812154404858,POINT (7.886698 46.286365)
1502,170,7.88540240801799,46.2914415099038,0.410376973794911,NaN,True,7021471425,false,0.996586288061831,108_0,NaN,NaN,NaN,255,0,0,20.5188486897456,POINT (7.885402 46.291442)
1503,153,7.88204089004431,46.290281432548,0.348206792352116,NaN,True,NaN,false,0.999045739678003,108_0,NaN,NaN,NaN,255,0,0,17.4103396176058,POINT (7.882041 46.290281)
1504,154,7.88193540801459,46.2902623099041,0,-1,False,429340323,false,0.999069629032242,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.881935 46.290262)
1505,155,7.88236290801502,46.2903398099041,0,-1,False,429340335,false,0.998975735730257,108_0,NaN,NaN,NaN,255,0,0,0,POINT (7.882363 46.29034)
